day,camera,replicate,treatment,t1_distance,t2_distance,t3_distance,t4_distance,t5_distance,t6_distance,t7_distance,t8_distance,t9_distance,t10_distance,t11_distance,t12_distance,t13_distance,t14_distance,t15_distance,t16_distance,t17_distance,t18_distance,total_distance,t1_time_spent_in_open,t2_time_spent_in_open,t3_time_spent_in_open,t4_time_spent_in_open,t5_time_spent_in_open,t6_time_spent_in_open,t7_time_spent_in_open,t8_time_spent_in_open,t9_time_spent_in_open,t10_time_spent_in_open,t11_time_spent_in_open,t12_time_spent_in_open,t13_time_spent_in_open,t14_time_spent_in_open,t15_time_spent_in_open,t16_time_spent_in_open,t17_time_spent_in_open,t18_time_spent_in_open,total_opentime,t1_distance_spent_in_open,t2_distance_spent_in_open,t3_distance_spent_in_open,t4_distance_spent_in_open,t5_distance_spent_in_open,t6_distance_spent_in_open,t7_distance_spent_in_open,t8_distance_spent_in_open,t9_distance_spent_in_open,t10_distance_spent_in_open,t11_distance_spent_in_open,t12_distance_spent_in_open,t13_distance_spent_in_open,t14_distance_spent_in_open,t15_distance_spent_in_open,t16_distance_spent_in_open,t17_distance_spent_in_open,t18_distance_spent_in_open,total_open_distance
day 3,cam 4,rep12,control,207.85,176.87,179.65,152.31,142.6,125.17,107.76,137.4,79.88,118.6,83.92,100.65,81.07,150.86,96.62,NA,NA,NA,1941.21,9.632107023,61.80602007,47.62541806,23.01003344,56.18729097,47.89297659,50.56856187,34.51505017,0,74.11371237,0,103.812709,0,27.82608696,125.7525084,NA,NA,NA,662.7424749,8.43,21.91,24.7,16.31,23.98,13.32,22.34,18.11,0,12.18,0,15.11,0,10.82,24.48,NA,NA,NA,211.69
day 4,cam 1,rep13,control,313.21,253.93,157.21,210.75,204.44,151.33,95.18,76.54,145.61,101.19,85.05,86.8,73.67,81.45,89.45,77.79,85.14,63.08,2351.82,24.61538462,44.41471572,0,0,30.76923077,0,0,0,23.5451505,7.491638796,0,17.12374582,0,0,12.30769231,0,0,0,160.2675585,19.65,30.3,0,0,27.98,0,0,0,12.06,3.52,0,6.46,0,0,5.31,0,0,0,105.28
day 4,cam 1,rep13,control,280.53,292.03,272.31,116.98,105.29,58.32,69.61,130.83,81.32,76.7,73.15,70.03,23.81,0,0,0,0,0,1650.91,5.618729097,8.294314381,0.535117057,0,26.22073579,0,0,152.2408027,0,0,0,0,0,0,0,0,0,0,192.909699,7.92,9.7,0.33,0,10.92,0,0,44.39,0,0,0,0,0,0,0,0,0,0,73.26
day 4,cam 2,rep14,control,337.04,218.24,175.72,197.33,167.41,100.57,114.83,62.74,1.42,0,0,0,0.37,0,0,0,0,0,1375.67,35.85284281,45.48494983,41.47157191,73.31103679,190.7692308,29.1638796,38.26086957,0,0,0,0,0,0,0,0,0,0,0,454.3143813,31.15,17.65,30.38,49.97,54.18,13.75,12.73,0,0,0,0,0,0,0,0,0,0,0,209.81
day 4,cam 2,rep14,control,385.9,267.91,190.7,145.38,179.06,123.99,177.69,101.51,105.12,71.04,130.38,77.47,92.82,59.45,45.47,52.1,85.4,71.44,2362.83,39.33110368,8.026755853,14.98327759,45.75250836,59.93311037,0,4.013377926,2.408026756,1.070234114,0,0,0,36.12040134,0,0,0,0,0,211.638796,33.79,9.48,9.45,25.98,29.3,0,3.09,0.84,0.68,0,0,0,10.82,0,0,0,0,0,123.43
day 4,cam 3,rep15,control,313.93,247.69,196.4,168.01,140.28,153.53,169.21,139.9,133.94,143.27,143.62,68.5,19.32,144.97,103.51,140.97,101.62,126.83,2655.5,22.74247492,16.32107023,0,0,0,13.91304348,0,13.37792642,25.4180602,0,19.7993311,22.74247492,22.20735786,199.0635452,0,38.26086957,0,0,393.8461538,24.59,15.44,0,0,0,13.77,0,6.34,9.9,0,9.94,15.53,1.67,68.6,0,10.87,0,0,176.65
day 4,cam 3,rep15,control,515.07,400.19,329.39,261.17,276.99,274.29,227.81,186.74,99.81,171.43,61.69,142.81,72.76,127.5,36.16,4.06,0.83,32.96,3221.66,31.57190635,35.31772575,7.491638796,55.65217391,21.13712375,0,0,23.27759197,0,67.95986622,0,116.3879599,0,133.2441472,0,0,0,0,492.0401338,48.9,47.72,10.71,54.44,17.08,0,0,9.96,0,26.59,0,43.26,0,29.22,0,0,0,0,287.88
day 4,cam 4,rep16,control,377.98,236.05,184.18,167.44,271.91,158.36,118.19,55.33,93.45,151.57,76.95,74.86,39.73,0,68.89,112.06,104.4,63.54,2354.89,56.98996656,0,16.85618729,0.802675585,27.82608696,9.096989967,0,0,0,59.93311037,0,0,0,0,0,18.46153846,64.48160535,0,254.4481605,62.43,0,17.58,0.54,29.52,7.12,0,0,0,25.6,0,0,0,0,0,9.37,12.86,0,165.02
day 4,cam 4,rep16,control,248.39,217.53,201.22,208,169.08,68.61,126.97,89.7,72.64,119.43,96.05,106.82,66.2,0,101.15,103.1,77.97,52.04,2124.9,12.57525084,29.69899666,10.16722408,48.69565217,32.64214047,0,0,22.74247492,89.63210702,37.19063545,40.66889632,0,0,0,7.491638796,0,0,0,331.5050167,11.74,21.24,6.99,26.29,14.73,0,0,9.72,12.06,17.72,12.82,0,0,0,4.11,0,0,0,137.42
day 5,cam 1,rep17,control,92.68,248.24,72.8,0,0,0,318.37,379.45,433.01,342.34,257.87,147.12,80.54,120.75,76.62,107.33,79.24,136.19,2892.55,0,14.18060201,10.96989967,0,0,0,31.83946488,126.8227425,45.75250836,55.11705686,95.25083612,31.57190635,3.47826087,75.18394649,464.2140468,0,0,41.20401338,995.5852843,0,24.92,9.51,0,0,0,48.41,85.25,41.41,41.73,32.67,17.86,7.83,15.42,54.4,0,0,22.53,401.94
