"day","camera","hour","arena","infection.status","track","total_distance_traveled_pixels","time_spent_in_open","distance_spent_in_open","minutes.moving","minutes.staying","tot.distance.cm","tot.distance.m","seconds.time.spent.in.open","open.distance.cm","open.speed.cmxmin"
"day 5","cam 4","hour 1","arena 20","control",4,54064.6218514202,506,4156.63444360805,2.3,57,1430.46,14.3046,135.384615384615,109.98,47.8
"day 6","cam 1","hour 1","arena 21","infected",1,44135.9120886263,613,4465.13691907779,2.7,57.4,1167.76,11.6776,164.013377926421,118.14,43.8
"day 6","cam 1","hour 1","arena 21","infected",2,44418.023594177,323,3060.77852569111,1.4,58.7,1175.23,11.7523,86.4214046822743,80.98,57.8
"day 6","cam 1","hour 1","arena 21","control",3,27138.2583970276,217,635.513594174136,1,59.2,718.03,7.1803,58.0602006688963,16.81,16.8
"day 6","cam 1","hour 1","arena 21","control",4,24238.1514674349,366,840.730238618437,1.6,58.5,641.3,6.413,97.9264214046823,22.24,13.9
"day 6","cam 2","hour 1","arena 22","infected",1,37597.4959307879,210,1431.57132084676,0.9,59.2,994.77,9.9477,56.1872909698997,37.88,42.1
"day 6","cam 2","hour 1","arena 22","infected",2,47807.2810060682,385,2046.52471950429,1.7,58.4,1264.9,12.649,103.010033444816,54.15,31.9
"day 6","cam 2","hour 1","arena 22","control",3,49155.2700050686,138,968.920993582732,0.6,59.5,1300.57,13.0057,36.9230769230769,25.64,42.7
"day 6","cam 2","hour 1","arena 22","control",4,33415.3128023397,1779,5990.73671553911,7.9,52.2,884.11,8.8411,475.986622073579,158.5,20.1
"day 6","cam 3","hour 1","arena 23","infected",1,34253.3310780744,545,1884.78580813684,2.4,57.7,906.29,9.0629,145.819397993311,49.87,20.8
"day 6","cam 3","hour 1","arena 23","infected",2,37607.591068807,419,2642.09557303492,1.9,58.3,995.03,9.9503,112.107023411371,69.91,36.8
"day 6","cam 3","hour 1","arena 23","control",3,41248.534398789,962,4971.85720154202,4.3,55.9,1091.37,10.9137,257.391304347826,131.55,30.6
"day 6","cam 3","hour 1","arena 23","control",4,1057.89244429453,0,0,0,60.2,27.99,0.2799,0,0,0
"day 6","cam 4","hour 1","arena 24","infected",1,36023.8155539815,628,3808.53667798228,2.8,57.3,953.13,9.5313,168.026755852843,100.77,36
"day 6","cam 4","hour 1","arena 24","infected",2,38806.4351886604,575,2119.39037148207,2.6,57.6,1026.75,10.2675,153.846153846154,56.08,21.6
"day 6","cam 4","hour 1","arena 24","control",3,38589.8837207738,684,3412.80210757892,3.1,57.1,1021.02,10.2102,183.010033444816,90.3,29.1
"day 6","cam 4","hour 1","arena 24","control",4,36251.5478856524,481,2150.55128104528,2.1,58,959.16,9.5916,128.695652173913,56.9,27.1
"day 7","cam 1","hour 1","arena 25","infected",1,48428.0059259313,1134,4192.00672703152,5.1,55.1,1281.32,12.8132,303.411371237458,110.91,21.7
"day 7","cam 1","hour 1","arena 25","infected",2,23687.8880446785,171,639.803208339102,0.8,59.4,626.74,6.2674,45.752508361204,16.93,21.2
"day 7","cam 1","hour 1","arena 25","control",3,67895.0053091017,239,1756.14575695182,1.1,59.1,1796.39,17.9639,63.9464882943144,46.46,42.2
"day 7","cam 1","hour 1","arena 25","control",4,38427.1020799477,364,2626.7539369867,1.6,58.5,1016.72,10.1672,97.3913043478261,69.5,43.4
"day 7","cam 2","hour 1","arena 26","infected",1,8485.6171115972,0,0,0,60.1,224.52,2.2452,0,0,0
"day 7","cam 2","hour 1","arena 26","infected",2,15653.9451698053,457,1272.15303152577,2,58.1,414.18,4.1418,122.274247491639,33.66,16.8
"day 7","cam 2","hour 1","arena 26","control",3,62591.0235464857,818,5772.00879462337,3.6,56.5,1656.05,16.5605,218.862876254181,152.72,42.4
"day 7","cam 2","hour 1","arena 26","control",4,38825.3684882796,507,2664.98894145495,2.3,57.9,1027.25,10.2725,135.652173913043,70.51,30.7
"day 7","cam 3","hour 1","arena 27","infected",1,37421.4521447325,1227,2709.9876240493,5.5,54.7,990.11,9.9011,328.294314381271,71.7,13
"day 7","cam 3","hour 1","arena 27","infected",2,29040.7427564398,611,1837.42672821285,2.7,57.4,768.37,7.6837,163.478260869565,48.62,18
"day 7","cam 3","hour 1","arena 27","control",3,29215.7283887412,287,2136.70590613302,1.3,58.8,773,7.73,76.7892976588629,56.53,43.5
"day 7","cam 3","hour 1","arena 27","control",4,42122.3122271582,644,4486.17979518643,2.9,57.3,1114.49,11.1449,172.307692307692,118.7,40.9
"day 7","cam 4","hour 1","arena 28","infected",1,17138.1161978717,3766,5000.9476163488,16.8,43.3,453.45,4.5345,1007.6254180602,132.32,7.9
"day 7","cam 4","hour 1","arena 28","infected",2,37686.3364058871,453,2089.56254653747,2,58.1,997.12,9.9712,121.204013377926,55.29,27.6
"day 7","cam 4","hour 1","arena 28","control",3,47777.2838014128,811,4904.28556488696,3.6,56.5,1264.11,12.6411,216.989966555184,129.76,36
"day 7","cam 4","hour 1","arena 28","control",4,24474.1390197698,356,1145.83340048605,1.6,58.5,647.54,6.4754,95.2508361204013,30.32,18.9
"day 8","cam 1","hour 1","arena 29","infected",1,48415.4433016278,787,5608.82874230653,3.5,56.6,1280.99,12.8099,210.56856187291,148.4,42.4
"day 8","cam 1","hour 1","arena 29","infected",2,6617.16079193246,6,97.0300462482244,0,60.1,175.08,1.7508,1.60535117056856,2.57,0
"day 8","cam 1","hour 1","arena 29","control",3,54877.8657254895,801,3208.67435972559,3.6,56.6,1451.98,14.5198,214.314381270903,84.9,23.6
"day 8","cam 1","hour 1","arena 29","control",4,50578.9061849158,938,4438.08771929574,4.2,56,1338.23,13.3823,250.969899665552,117.42,28
"day 8","cam 2","hour 1","arena 30","infected",1,35706.6591918351,324,2073.5665555197,1.4,31.8,944.74,9.4474,86.6889632107023,54.86,39.2
"day 8","cam 2","hour 1","arena 30","infected",2,15505.1796732859,1599,3316.78947869967,7.1,26.1,410.24,4.1024,427.826086956522,87.76,12.4
"day 8","cam 2","hour 1","arena 30","control",3,32467.3979242645,390,3036.48343946452,1.7,31.5,859.03,8.5903,104.347826086957,80.34,47.3
"day 8","cam 2","hour 1","arena 30","control",4,12870.1727277565,700,2033.19154489282,3.1,30.1,340.52,3.4052,187.290969899666,53.79,17.4
"day 8","cam 3","hour 1","arena 31","infected",1,44747.114146337,646,4629.6413774544,2.9,57.3,1183.93,11.8393,172.842809364549,122.49,42.2
"day 8","cam 3","hour 1","arena 31","infected",2,86565.3202387682,1616,9364.48455937261,7.2,52.9,2290.37,22.9037,432.374581939799,247.77,34.4
"day 8","cam 3","hour 1","arena 31","control",3,45911.0774845759,504,3162.00455217938,2.2,57.9,1214.73,12.1473,134.849498327759,83.66,38
"day 8","cam 3","hour 1","arena 31","control",4,41565.0057510072,125,1900.16693069105,0.6,59.6,1099.74,10.9974,33.4448160535117,50.28,83.8
"day 8","cam 4","hour 1","arena 32","infected",1,48940.5127844741,33,414.016201146436,0.1,59.4,1294.88,12.9488,8.82943143812709,10.95,109.5
"day 8","cam 4","hour 1","arena 32","infected",2,50329.1179893713,789,3029.11493937221,3.5,56,1331.62,13.3162,211.103678929766,80.15,22.9
