"day" "camera" "hour" "arena" "infection.status" "track" "total_distance_traveled_pixels" "time_spent_in_open" "distance_spent_in_open" "minutes.moving" "minutes.staying" "tot.distance.cm" "speed.cmxmin" "tot.distance.m" "seconds.moving" "speed.mxsec" "speed.cmxsec"
"day 4" "cam 3" "hour 1" "arena 15" "infected" 1 37077.8896028248 683 5696.82700645829 3 57.1 981.02 327 9.8102 182.742474916388 0.05 5.37
"day 4" "cam 3" "hour 1" "arena 15" "infected" 2 40562.5176491267 1434 4539.62903917091 6.4 53.7 1073.22 167.7 10.7322 383.678929765886 0.03 2.8
"day 4" "cam 3" "hour 1" "arena 15" "control" 3 46144.6492548228 569 4676.65733613982 2.5 57.6 1220.91 488.4 12.2091 152.240802675585 0.08 8.02
"day 4" "cam 3" "hour 1" "arena 15" "control" 4 77882.9638900355 1265 13236.1749373149 5.6 54.5 2060.65 368 20.6065 338.461538461538 0.06 6.09
"day 4" "cam 4" "hour 1" "arena 16" "infected" 1 42181.709021217 1740 7638.68647656615 7.8 52.4 1116.06 143.1 11.1606 465.551839464883 0.02 2.4
"day 4" "cam 4" "hour 1" "arena 16" "infected" 2 41473.5860003626 1473 8581.93801773862 6.6 53.6 1097.32 166.3 10.9732 394.113712374582 0.03 2.78
"day 4" "cam 4" "hour 1" "arena 16" "control" 3 52826.0505148556 1599 10138.4202098716 7.1 53 1397.69 196.9 13.9769 427.826086956522 0.03 3.27
"day 4" "cam 4" "hour 1" "arena 16" "control" 4 42080.1758444387 1866 7488.10973558777 8.3 51.8 1113.37 134.1 11.1337 499.264214046823 0.02 2.23
"day 5" "cam 1" "hour 1" "arena 17" "infected" 1 32756.277406629 3077 9927.43753912261 13.7 46.4 866.68 63.3 8.6668 823.277591973244 0.01 1.05
"day 5" "cam 1" "hour 1" "arena 17" "infected" 2 45471.5803335612 1401 6744.26781660805 6.2 53.9 1203.1 194 12.031 374.849498327759 0.03 3.21
"day 5" "cam 1" "hour 1" "arena 17" "control" 3 15636.6332688854 271 3067.32406723752 1.2 58.9 413.72 344.8 4.1372 72.5083612040134 0.06 5.71
"day 5" "cam 1" "hour 1" "arena 17" "control" 4 66800.368052035 1100 9251.53713513535 4.9 55.2 1767.43 360.7 17.6743 294.314381270903 0.06 6.01
"day 5" "cam 2" "hour 1" "arena 18" "infected" 1 30415.8799294501 1624 2522.89789410363 7.2 52.5 804.75 111.8 8.0475 434.515050167224 0.02 1.85
"day 5" "cam 2" "hour 1" "arena 18" "infected" 2 26824.6582903199 2974 6555.27262527571 13.3 46.4 709.74 53.4 7.0974 795.719063545151 0.01 0.89
"day 5" "cam 2" "hour 1" "arena 18" "control" 3 34725.565083313 1388 4344.73721477591 6.2 53.5 918.78 148.2 9.1878 371.371237458194 0.02 2.47
"day 5" "cam 2" "hour 1" "arena 18" "control" 4 35048.2029214945 721 6487.44253086086 3.2 56.5 927.32 289.8 9.2732 192.909698996656 0.05 4.81
"day 5" "cam 3" "hour 1" "arena 19" "infected" 1 44501.7321100169 1276 4685.8566991279 5.7 54.5 1177.44 206.6 11.7744 341.404682274248 0.03 3.45
"day 5" "cam 3" "hour 1" "arena 19" "infected" 2 59954.7959594318 1873 12703.3415489462 8.4 51.8 1586.3 188.8 15.863 501.137123745819 0.03 3.17
"day 5" "cam 3" "hour 1" "arena 19" "control" 3 60084.550804339 2184 12385.070064182 9.7 50.4 1589.74 163.9 15.8974 584.347826086957 0.03 2.72
"day 5" "cam 3" "hour 1" "arena 19" "control" 4 54093.2066670123 1694 7138.69159651093 7.6 52.6 1431.22 188.3 14.3122 453.244147157191 0.03 3.16
"day 5" "cam 4" "hour 1" "arena 20" "infected" 1 33112.123538225 1405 4327.2976608318 6.3 53 876.09 139.1 8.7609 375.919732441472 0.02 2.33
"day 5" "cam 4" "hour 1" "arena 20" "infected" 2 39860.2141453439 2456 8523.66384406586 11 48.3 1054.63 95.9 10.5463 657.123745819398 0.02 1.6
"day 5" "cam 4" "hour 1" "arena 20" "control" 3 34678.8562225407 7465 15362.4295128683 33.3 26 917.54 27.6 9.1754 1997.32441471572 0 0.46
"day 5" "cam 4" "hour 1" "arena 20" "control" 4 54064.6218514202 1549 7880.03540377078 6.9 52.4 1430.46 207.3 14.3046 414.448160535117 0.03 3.45
"day 6" "cam 1" "hour 1" "arena 21" "infected" 1 44135.9120886263 967 7695.54523215616 4.3 55.8 1167.76 271.6 11.6776 258.729096989967 0.05 4.51
"day 6" "cam 1" "hour 1" "arena 21" "infected" 2 44418.023594177 1174 7415.21993155298 5.2 54.9 1175.23 226 11.7523 314.113712374582 0.04 3.74
"day 6" "cam 1" "hour 1" "arena 21" "control" 3 27138.2583970276 960 1735.13151424211 4.3 55.9 718.03 167 7.1803 256.85618729097 0.03 2.8
