"track" "total_distance_traveled_pixels" "time_spent_in_open" "distance_spent_in_open" "minutes.moving" "minutes.staying" "day" "camera" "arena" "infection.status"
2 21478.1110142506 728 2208.52813316777 3.2 56.9 "day 7" "cam 4" "arena 28" "infected"
3 7842.60897119327 10212 4901.75820929088 45.5 14.6 "day 7" "cam 4" "arena 28" "control"
4 15941.5331929157 1236 2466.23756779696 5.5 54.6 "day 7" "cam 4" "arena 28" "control"
1 22404.6191544986 2673 5125.6080497928 11.9 48.2 "day 8" "cam 1" "arena 29" "infected"
2 0 13489 0 60.2 0 "day 8" "cam 1" "arena 29" "infected"
3 41370.7431820316 2299 8432.17289010953 10.3 49.9 "day 8" "cam 1" "arena 29" "control"
4 7442.89115446877 11876 4040.37283506476 53 7.2 "day 8" "cam 1" "arena 29" "control"
1 0 9279 0 41.4 0 "day 8" "cam 3" "arena 31" "infected"
2 8175.34847677495 460 1716.2612478947 2.1 39.3 "day 8" "cam 3" "arena 31" "infected"
3 14976.1980469804 2728 4667.52567990059 12.2 29.2 "day 8" "cam 3" "arena 31" "control"
4 8058.30661572666 6724 6902.04228945153 30 11.4 "day 8" "cam 3" "arena 31" "control"
1 24092.0265470451 2303 4304.39843906354 10.3 49.9 "day 8" "cam 4" "arena 32" "infected"
2 15534.6199590278 864 2106.74924435283 3.9 56.3 "day 8" "cam 4" "arena 32" "infected"
3 0 0 0 0 60.1 "day 8" "cam 4" "arena 32" "control"
4 5698.66161672827 192 231.33141641066 0.9 59.3 "day 8" "cam 4" "arena 32" "control"
