"left" "" ""
"POLYDAY4CAM1" "63.8661016949153" "89.5254237288135"
"POLYDAY4CAM2" "46.5237288135593" "637.977966101695"
"POLYDAY4CAM2" "1217.13389830508" "648.816949152542"
"POLYDAY4CAM2" "1227.97288135593" "89.5254237288135"
"POLYDAY4CAM2" "40.0203389830508" "89.5254237288135"
"POLYDAY4CAM3" "18.3423728813559" "611.964406779661"
"POLYDAY4CAM3" "1178.11355932203" "616.3"
"POLYDAY4CAM3" "1204.12711864407" "65.6796610169491"
"POLYDAY4CAM3" "20.5101694915254" "59.1762711864407"
"POLYDAY4CAM4" "83.3762711864407" "659.65593220339"
"POLYDAY4CAM4" "1253.98644067797" "644.481355932204"
"POLYDAY4CAM4" "1249.65084745763" "104.7"
"POLYDAY4CAM4" "70.3694915254237" "113.371186440678"
"POLYDAY5CAM1" "59.5305084745763" "639.06186440678"
"POLYDAY5CAM1" "1219.30169491525" "636.89406779661"
"POLYDAY5CAM1" "1225.80508474576" "84.1059322033899"
"POLYDAY5CAM1" "42.1881355932203" "107.951694915254"
"POLYDAY5CAM2" "42.1881355932203" "660.739830508474"
"POLYDAY5CAM2" "1212.79830508475" "656.404237288136"
"POLYDAY5CAM2" "1214.96610169492" "123.126271186441"
"POLYDAY5CAM2" "31.3491525423729" "107.951694915254"
"POLYDAY5CAM3" "11.8389830508475" "582.699152542373"
"POLYDAY5CAM3" "1171.61016949153" "608.712711864407"
"POLYDAY5CAM3" "1197.62372881356" "60.2601694915255"
"POLYDAY5CAM3" "18.3423728813559" "42.9177966101696"
"POLYDAY5CAM4" "81.2084745762712" "660.739830508474"
"POLYDAY5CAM4" "1247.48305084746" "667.243220338983"
"POLYDAY5CAM4" "1251.8186440678" "114.455084745763"
"POLYDAY5CAM4" "70.3694915254237" "110.119491525424"
"POLYDAY6CAM1" "83.3762711864407" "645.565254237288"
"POLYDAY6CAM1" "1247.48305084746" "623.887288135593"
"POLYDAY6CAM1" "1243.14745762712" "92.7771186440679"
"POLYDAY6CAM1" "74.7050847457627" "94.9449152542373"
"POLYDAY6CAM2" "46.5237288135593" "647.733050847458"
"POLYDAY6CAM2" "1210.63050847458" "652.068644067797"
"POLYDAY6CAM2" "1221.46949152542" "90.6093220338984"
"POLYDAY6CAM2" "37.8525423728814" "101.448305084746"
"POLYDAY6CAM3" "3.16779661016949" "558.853389830508"
"POLYDAY6CAM3" "1167.27457627119" "615.216101694915"
"POLYDAY6CAM3" "1206.29491525424" "62.427966101695"
"POLYDAY6CAM3" "1" "29.9110169491526"
"POLYDAY6CAM4" "79.0406779661017" "658.572033898305"
"POLYDAY6CAM4" "1247.48305084746" "641.229661016949"
"POLYDAY6CAM4" "1247.48305084746" "112.287288135593"
"POLYDAY6CAM4" "63.8661016949153" "112.287288135593"
"POLYDAY7CAM1" "59.5305084745763" "649.900847457627"
"POLYDAY7CAM1" "1221.46949152542" "623.887288135593"
"POLYDAY7CAM1" "1217.13389830508" "84.1059322033899"
"POLYDAY7CAM1" "37.8525423728814" "101.448305084746"
"POLYDAY7CAM2" "40.0203389830508" "639.06186440678"
"POLYDAY7CAM2" "1214.96610169492" "656.404237288136"
"POLYDAY7CAM2" "1223.63728813559" "125.29406779661"
"POLYDAY7CAM2" "35.6847457627119" "73.2669491525425"
"POLYDAY7CAM3" "31.3491525423729" "582.699152542373"
"POLYDAY7CAM3" "1201.9593220339" "587.034745762712"
"POLYDAY7CAM3" "1223.63728813559" "53.756779661017"
"POLYDAY7CAM3" "9.67118644067797" "51.5889830508475"
"POLYDAY7CAM4" "83.3762711864407" "632.558474576271"
"POLYDAY7CAM4" "1245.31525423729" "665.075423728814"
"POLYDAY7CAM4" "1236.64406779661" "105.783898305085"
"POLYDAY7CAM4" "70.3694915254237" "110.119491525424"
"POLYDAY8CAM1" "66.0338983050847" "578.363559322034"
"POLYDAY8CAM1" "1232.30847457627" "545.846610169491"
"POLYDAY8CAM1" "1230.1406779661" "10.4008474576272"
"POLYDAY8CAM1" "61.6983050847458" "36.4144067796611"
"POLYDAY8CAM2" "59.5305084745763" "600.041525423729"
"POLYDAY8CAM2" "1234.47627118644" "636.89406779661"
"POLYDAY8CAM2" "1234.47627118644" "68.9313559322034"
"POLYDAY8CAM2" "50.8593220338983" "71.0991525423729"
"POLYDAY8CAM3" "48.6915254237288" "626.055084745763"
"POLYDAY8CAM3" "1214.96610169492" "617.383898305085"
