"","idnum","HComp.1","HComp.2","HComp.3","HComp.4","infected","trial","mouseidnum","lifespan","egg_total","hatch_total","avmaxtemp","avmintemp","avmaxhum","avminhum","havmaxtemp","havmintemp","havmaxhum","havminhum","PC1","PC2","PC3","PC4","TPC1","TPC2","TPC3","TPC4","TPC4.1"
"87",87,1.9653497776017,-0.689074485177531,0.0914973262638637,-0.0379067299236879,0,1,6,8,13,12,29.1888888888889,26.95,34.3333333333333,27.3611111111111,29.3642857142857,27.6285714285714,33.4285714285714,27.5,1.73153648050974,-0.286801980004824,0.247495099330252,0.0283092025820283,1.66254942857731,-0.576427132002348,0.0304653336897863,-0.262477348013338,-0.00857799712931876
"88",88,NA,NA,NA,NA,0,1,6,2,0,0,28.6,26.9555555555556,31,26.2222222222222,NA,NA,NA,NA,1.75908759543744,0.277948853931615,-0.278611337369031,0.0322224530709944,1.75786269141124,-0.161451970809632,0.119027595848743,0.373096216399508,-0.0670573276088782
"89",89,1.6488631889993,-0.449158140770957,0.204802429608937,0.0453233498082183,0,1,6,11,5,1,28.9608695652174,26.8760869565217,35.5869565217391,27.8260869565217,29.0333333333333,27.3888888888889,33.2222222222222,28.1111111111111,1.44943662993101,-0.260406441717294,0.173931704443463,-0.0630165654645352,1.39612513003024,-0.480937277494409,-0.0149298029872326,-0.198851368880096,0.0798517280187446
"90",90,1.10708338293136,-0.177668430520585,0.213182299115785,-0.0106519132787771,0,1,6,6,8,5,28.9851851851852,27.3740740740741,33.4814814814815,27.5925925925926,28.6125,27,34.625,28.625,1.86766769925167,-0.41219918848321,-0.201722549085997,-0.0571113404194472,1.78058239639673,-0.69372498972424,-0.243612840955646,0.106497808161486,0.0577337877660783
"91",91,1.46878153778731,0.306992894342685,0.223906253222007,0.0150014700800117,0,1,6,4,7,4,28.7888888888889,27.1222222222222,32.7222222222222,27.2222222222222,28.5625,26.9,31.625,26.375,1.73027561926357,-0.0988099878297941,-0.206279694163773,-0.00581164338127299,1.68584294501089,-0.429278391810847,-0.0739772094450603,0.195029993332831,-0.00722804049517804
"92",92,1.67798703182862,-0.410981021667028,0.209118951198552,-0.0328958141422848,0,1,6,6,43,16,28.9851851851852,27.3740740740741,33.4814814814815,27.5925925925926,29.0076923076923,27.4076923076923,33.3461538461538,27.6538461538462,1.86766769925167,-0.41219918848321,-0.201722549085997,-0.0571113404194472,1.78058239639673,-0.69372498972424,-0.243612840955646,0.106497808161486,0.0577337877660783
"93",93,NA,NA,NA,NA,0,1,6,2,0,0,28.5777777777778,27.4333333333333,33.8888888888889,28.2222222222222,NA,NA,NA,NA,1.60089380844127,-0.347560863729889,-0.527159620573245,-0.144676439548221,1.5347136220138,-0.568759961367843,-0.385954457027693,0.402731416983296,0.127305022758628
"94",94,1.76619624108572,-0.238804029688233,0.247044476054261,0.00166169941742733,0,1,6,7,27,1,29.25,26.996875,34.875,27.5,28.952380952381,27.3666666666667,32.2380952380952,27.0952380952381,1.7357974945851,-0.386556235799755,0.281397156840344,-0.00149689493965671,1.65475334529276,-0.650903095588758,-0.011474873871127,-0.320211439246634,0.0275767587895052
"95",95,1.76619624108572,-0.238804029688233,0.247044476054261,0.00166169941742733,0,1,6,5,38,38,28.9272727272727,27.3272727272727,32.4545454545455,27.0454545454545,28.952380952381,27.3666666666667,32.2380952380952,27.0952380952381,1.934243915778,-0.246995358823868,-0.240581407343187,-0.0310933610378938,1.86380977765956,-0.590422924876655,-0.157157540676892,0.193180123416098,0.0213306596121226
"96",96,NA,NA,NA,NA,0,1,6,5,0,0,28.9272727272727,27.3272727272727,32.4545454545455,27.0454545454545,NA,NA,NA,NA,1.934243915778,-0.246995358823868,-0.240581407343187,-0.0310933610378938,1.86380977765956,-0.590422924876655,-0.157157540676892,0.193180123416098,0.0213306596121226
"97",97,NA,NA,NA,NA,0,1,6,1,0,0,28.52,27.26,31.8,26.2,NA,NA,NA,NA,1.80839897746189,0.0913222839931987,-0.482523318663863,-0.155405970676616,1.78421836865723,-0.306118008808488,-0.0785399228139367,0.512056884036681,0.117549645887947
"98",98,1.45232656456142,-0.388940406536424,0.601943988529259,-0.0854987939931735,0,1,6,3,16,15,28.5769230769231,27.1,33.5384615384615,27.6923076923077,28.6,27.55,33.5,28.5,1.51148858579124,-0.0838251447312826,-0.320605404965019,-0.0707593682667016,1.47890123672714,-0.357877243456359,-0.140321612865729,0.292275926482749,0.0527681315754948
"99",99,1.1678493703505,-0.276394081123416,-0.278789978642135,-0.109171799436231,0,1,6,13,49,32,28.5877192982456,26.7280701754386,37.5438596491228,29.4912280701754,29.0052631578947,26.8052631578947,36.2368421052632,27.7894736842105,0.903871398851603,-0.279717986886054,0.031820007858616,-0.0927597615837338,0.872781677327207,-0.346875757927445,-0.150938860463167,-0.109717340401419,0.10796844719201
"100",100,1.38217036649954,0.487273210760567,-0.0339157505947623,0.133344367778556,1,1,7,5,8,0,28.8347826086957,27.2391304347826,32.7391304347826,27.9130434782609,28.64,26.56,31.4,26.2,1.74948152110186,-0.252137097162663,-0.270699389018057,0.0468007253851986,1.6867107958639,-0.544113911918684,-0.197300404839797,0.200825597450212,-0.0558683340915289
"101",101,1.33721690966965,-0.330846564562431,-0.20231449158707,0.0044696543822868,1,1,7,13,65,50,28.9892857142857,26.9571428571429,35.0892857142857,27.9107142857143,29.0913043478261,26.9304347826087,35.0869565217391,27.9782608695652,1.53061289668875,-0.298120179385469,0.118108830091879,-0.0283444518320901,1.46971445194146,-0.528507453452101,-0.0574113948604839,-0.159827473346276,0.0434594067473043
"102",102,1.43730354946482,-0.424443651410798,0.0796088253187447,-0.00682685022298762,1,1,7,20,12,6,28.1098901098901,26.4,41.7802197802198,34.3736263736264,28.9888888888889,27.2111111111111,34.4444444444444,28.2777777777778,-0.218529076666322,-0.582819282206006,-0.0885844523807623,0.0763963604458196,-0.235444556806723,-0.265530410650228,-0.515576592396531,-0.176901421900828,-0.0420562922023967
"103",103,1.69419639355974,0.224721031550287,0.303817757503046,0.0536808217433544,1,1,7,11,7,6,29.0877551020408,26.9571428571429,34.4081632653061,27.734693877551,28.6692307692308,27.0923076923077,30.6923076923077,26.2307692307692,1.64489064803711,-0.284946223664165,0.16197405144658,0.0359799983218309,1.58037462848824,-0.550079120412234,-0.0190208615897428,-0.192778653618886,-0.0199765868187414
"104",104,1.43918315171044,-0.160407537457723,0.227086460557259,-0.0106750568858455,1,1,7,19,34,15,28.2104651162791,26.4511627906977,40.5581395348837,33.1744186046512,28.7615384615385,27.1576923076923,33.3076923076923,27.6923076923077,0.0471125728297468,-0.472957544257683,-0.0611701711407341,0.0553890738448086,0.0313193614678427,-0.25699564831358,-0.407666644678414,-0.149850763344299,-0.0273657812496876
"105",105,1.13058143250951,-0.230586374113234,-0.0187416834507725,-0.0619193632986959,1,1,7,24,86,67,27.6144144144144,25.9693693693694,46.2972972972973,38.3333333333333,28.7969230769231,26.9107692307692,35.4461538461538,28.2461538461538,-1.33955348099682,-0.749831051377436,-0.111155159454808,0.143620464896566,-1.32709632677209,-0.0882730990938093,-0.746972656207232,-0.279173355087776,-0.091953538115652
"106",106,1.38217036649954,0.487273210760567,-0.0339157505947623,0.133344367778556,1,1,7,3,1,0,28.7285714285714,27.1857142857143,30.7142857142857,26.2142857142857,28.64,26.56,31.4,26.2,1.95669194410454,0.105009138939425,-0.342252611001089,0.0173480269059487,1.92702483789139,-0.338182724392794,0.00574061289317816,0.388036051840111,-0.0491589018968998
"107",107,2.21807365598379,-0.298022859196315,0.207718589510982,0.0484617786801617,1,1,7,11,6,3,29.0173913043478,26.9065217391304,34.695652173913,27.6086956521739,29.2461538461538,27.5769230769231,30.6153846153846,26.1538461538462,1.57468417049918,-0.229736238346671,0.161753357559,-0.00563289695864505,1.51963353472997,-0.491457143024694,0.0084000435933622,-0.176195416146707,0.0194676423733917
"108",108,1.64093935984524,0.282054415205148,0.166551008555297,0.104136925022349,1,1,7,2,9,6,28.8,27.08,30.8,26.2,28.7222222222222,26.9333333333333,30.7777777777778,26.2222222222222,1.93868551497441,0.130611464106051,-0.223332380720837,0.0598875805847311,1.9121562707954,-0.317369261990852,0.0748061394980851,0.287422393491901,-0.0863599183478756
"109",109,1.35433045727165,0.0822295460556206,0.23450302414673,0.0201249935367661,1,1,7,10,33,26,29.0659090909091,26.9454545454545,34.2954545454545,27.4318181818182,28.6058823529412,26.9764705882353,32.7058823529412,27.3529411764706,1.66184780396821,-0.233585067572409,0.159987680055513,0.00919130700096582,1.60258379491754,-0.517319651723569,0.0137582994259735,-0.172007720687556,0.00399752906404929
