"","idnum","threeperiod","infected","eggs.sums","hatch.sums","alive.sums"
"349",59,3,1,21,15,3
"350",59,4,1,13,9,3
"351",59,5,1,11,6,3
"352",59,6,1,13,8,3
"353",59,7,1,7,3,3
"354",59,8,1,4,1,2
"355",60,1,1,7,2,3
"356",60,2,1,0,0,1
"357",61,1,1,23,21,3
"358",61,2,1,37,28,3
"359",61,3,1,27,22,3
"360",61,4,1,18,13,3
"361",61,5,1,18,14,3
"362",61,6,1,19,14,3
"363",61,7,1,6,4,3
"364",61,8,1,0,0,3
"365",61,9,1,0,0,3
"366",61,10,1,0,0,3
"367",62,1,1,27,21,3
"368",62,2,1,27,21,3
"369",62,3,1,33,21,3
"370",62,4,1,23,12,3
"371",62,5,1,20,14,3
"372",62,6,1,22,11,3
"373",62,7,1,6,3,3
"374",62,8,1,0,0,3
"375",62,9,1,0,0,3
"376",63,1,1,18,16,3
"377",63,2,1,34,19,3
"378",63,3,1,28,22,3
"379",63,4,1,19,10,3
"380",63,5,1,23,12,3
"381",63,6,1,22,14,3
"382",63,7,1,3,1,3
"383",63,8,1,0,0,3
"384",63,9,1,0,0,3
"385",63,10,1,0,0,3
"386",63,11,1,0,0,2
"387",64,1,1,0,0,2
"388",65,1,0,4,3,3
"389",65,2,0,19,16,3
"390",65,3,0,7,6,3
"391",65,4,0,0,0,2
"392",66,1,0,8,5,3
"393",66,2,0,25,20,3
"394",66,3,0,1,1,3
"395",67,1,0,17,15,3
"396",67,2,0,0,0,1
"397",68,1,0,15,15,3
"398",69,1,0,7,0,2
"399",70,1,0,0,0,1
"400",71,1,0,9,0,3
"401",71,2,0,28,24,3
"402",71,3,0,13,9,3
"403",71,4,0,0,0,1
"404",72,1,0,29,22,3
"405",72,2,0,15,13,3
"406",73,1,0,2,0,3
"407",73,2,0,9,8,3
"408",73,3,0,2,1,3
"409",73,4,0,0,0,3
"410",74,1,0,3,3,3
"411",74,2,0,0,0,3
"412",74,3,0,1,0,1
"413",75,1,0,14,12,3
"414",75,2,0,24,23,3
"415",75,3,0,7,5,3
"416",75,4,0,1,0,2
"417",76,1,0,6,3,2
"418",77,1,0,15,2,3
"419",77,2,0,0,0,3
