Nro_ pareja,Procedencia,Fecha_Inicio_ Pareja,s1_p,s1_v,s2_p,s2_v,s3_p,s3_v,s4_p,s4_v,s5_p,s5_v,s6_p,s6_v,s7_p,s7_v,s8_p,s8_v,s9_p,s9_v,s10_p,s10_v,s11_p,s11_v,s12_p,s12_v,s13_p,s13_v,s14_p,s14_v,s15_p,s15_v,s16_p,s16_v,s17_p,s17_v,s18_p,s18_v,s19_p,s19_v,s20_p,s20_v,s21_p,s21_v,s22_p,s22_v,s23_p,s23_v,s24_p,s24_v,s25_p,s25_v,s26_p,s26_v,s27_p,s27_v,s28_p,s28_v,s29_p,s29_v,s30_p,s30_v,s31_p,s31_v,s32_p,s32_v,s33_p,s33_v,s34_p,s34_v,Longevidad,Nro_semanas_postura,tot_huevos_puestos_ x_ pareja,tot_huevos_viables_x_pareja,%_viablilidad
P11,CO,7/7/2014,3,2,6,4,6,5,9,9,7,7,10,10,7,6,8,8,12,12,7,6,7,7,7,5,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,89,81,91%
P12,CO,28/07/2014,3,3,4,4,6,5,9,7,8,6,11,9,7,6,9,8,9,9,10,7,10,10,9,3,5,0,7,4,5,1,3,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,27,26,115,83,72%
P13,CO,4/8/2014,0,,0,,2,2,3,3,4,3,5,2,1,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,15,10,67%
P14,CO,4/8/2014,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,0,0,#¡DIV/0!
P15,I-R1,5/5/2014,4,4,7,4,7,6,5,5,4,4,0,,2,2,2,1,0,,1,0,2,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,35,29,83%
P16,I-R1,5/5/2014,1,1,1,0,5,3,4,2,4,3,6,5,4,4,3,2,4,0,1,1,1,1,3,2,2,0,3,1,1,1,3,3,3,2,5,4,2,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,25,24,56,35,63%
P17,I-R1,12/5/2014,0,,8,7,6,5,7,6,4,3,0,,0,,0,,3,3,4,3,5,5,1,1,0,,3,2,2,2,1,0,10,8,6,4,5,5,3,0,5,2,2,1,4,2,0,,0,,0,,0,,,,,,,,,,,,,,,,28,27,79,59,75%
P18,I-R1,12/5/2014,0,,4,4,6,6,4,3,5,2,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,24,20,83%
P19,I-R1,15/05/2014,1,1,8,8,5,4,3,2,4,4,2,2,0,,2,2,5,5,3,3,1,1,2,1,3,0,6,3,7,6,2,2,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,54,44,81%
P20,I-R1,23/05/2014,0,,0,,0,,0,,6,2,8,4,5,3,12,4,2,0,4,1,2,2,1,1,4,1,7,4,7,0,5,0,4,0,11,1,6,1,8,0,5,1,9,6,4,1,11,6,6,2,,,,,,,,,,,,,,,,,,,26,25,127,40,31%
