"","idnum","id","parents","infected","start","week","date","eggs","hatch","alive","mouse","procedencia","trial","perferc","avtemphigh","avtemplow","avtemp","tempmax","tempmin","tempdiff","avhumhigh","avhumlow","avhum","hummax","hummin","humdiff","eggevent","hatchevent","egg_total","hatch_total","mouseidnum","lifespan","avtemp_total","avlowtemp_total","avhightemp_total","avhum_total","avlowhum_total","avhighhum_total","hightemp_total","highhum_total","lowtemp_total","lowhum_total","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"21",21,"P21-2","P21","0",2014-11-27,"1",2014-12-04,0,NA,1,"CO-B-2","CO-B",2,NA,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,0,NA,4,0,2,14,26.9447023809524,26.0589285714286,27.8304761904762,42.2130952380952,37.7095238095238,46.7166666666667,36.3,68,22.6,26,-69.3368344053043,-3.39587089498057,-0.782333187210097,-0.308429560980231,-0.67619078682639,0.441415379389246,0.0706874353172505,-7.9033511530624e-16,-1.16918198776841e-13
"22",22,"P22-2","P22","0",2014-11-27,"1",2014-12-04,3,0,1,"CO-B-2","CO-B",2,0,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,0,33,8,2,22,26.4369696969697,25.6236363636364,27.250303030303,47.5219696969697,42.1742424242424,52.869696969697,36.3,72,22.6,26,-69.8723666342318,-11.3087323822274,-7.15037042470882,-0.373010119306795,-0.614471195476547,-0.107614303738837,0.0650814672315772,-2.78353238920359e-15,-7.57840020336096e-14
"23",23,"P23-2","P23","0",2014-11-27,"1",2014-12-04,0,NA,1,"CO-B-2","CO-B",2,NA,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,0,NA,34,26,2,15,26.8010555555556,25.9323333333333,27.6697777777778,43.4255555555556,38.7955555555556,48.0555555555556,36.3,70,22.6,26,-67.7786676714722,-6.36298793590271,-1.8877206311224,-0.406230938700552,-0.840599910197376,0.321355700015185,0.0793404197750795,-4.92830039176218e-16,-1.23561756008963e-13
"24",24,"P24-2","P24","0",2014-11-27,"1",2014-12-04,0,NA,1,"CO-B-2","CO-B",2,NA,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,0,NA,21,14,2,16,26.6766145833333,25.8165625,27.5366666666667,44.5177083333333,39.7958333333333,49.2395833333333,36.3,70,22.6,26,-67.0489383909368,-7.37041668436874,-3.64072832908392,-0.263030276906427,-0.83121575920784,0.312289518270572,0.106761723433341,1.28352680022403e-15,-1.41943753322151e-13
"25",25,"P25-2","P25","0",2014-11-27,"1",2014-12-04,0,NA,1,"CO-B-2","CO-B",2,NA,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,0,NA,54,40,2,22,26.4369696969697,25.6236363636364,27.250303030303,47.5219696969697,42.1742424242424,52.869696969697,36.3,72,22.6,26,-66.9098215220062,-11.6859580203179,-7.40065007915544,-0.241337222456963,-0.598730333655535,-0.13560891777692,0.06934123884548,-2.78353238920359e-15,-7.57840020336096e-14
"26",26,"P26-2","P26","0",2014-11-27,"1",2014-12-04,5,5,1,"CO-B-2","CO-B",2,1,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,32,26,2,7,27.9408333333333,26.7921428571429,29.0895238095238,33.3261904761905,28.3333333333333,38.3190476190476,36.3,68,23.1,26,-62.3279440649937,2.9991496192693,12.3185797472553,-1.18833242623195,0.946847228212495,-0.21010294497755,-0.122709198202255,-1.50504118740868e-15,1.44315977874852e-13
"27",27,"P27-2","P27","0",2014-11-27,"1",2014-12-04,0,NA,1,"CO-B-2","CO-B",2,NA,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,0,NA,22,19,2,6,27.9126388888889,26.6475,29.1777777777778,33.6638888888889,28.4222222222222,38.9055555555556,36.3,68,23.1,26,-61.4249223047835,2.57508666835508,11.7123910661598,-1.15962784025477,1.25617631643295,-0.348250345110742,0.00806814214318819,-1.92137482164312e-15,7.37222733817135e-14
"28",28,"P28-2","P28","0",2014-12-04,"1",2014-12-11,0,NA,1,"CO-B-2","CO-B",2,NA,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,0,NA,2,0,2,5,27.7251666666667,26.349,29.1013333333333,34.6766666666667,28.9066666666667,40.4466666666667,36.3,68,23.1,26,-60.6851764191459,1.56903842125713,10.0450374754423,-1.17680761195831,1.88910393369875,-0.475060573073217,0.10357807063372,4.10093530069711e-16,4.63505053351445e-14
"29",29,"P29-2","P29","0",2014-12-04,"1",2014-12-11,9,6,1,"CO-B-2","CO-B",2,0.666666666666667,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,1,1,131,64,2,25,26.3322333333333,25.5324,27.1320666666667,47.3473333333333,41.2833333333333,53.4113333333333,36.3,72,22.6,24,-62.9329582094958,-12.1507397443089,-7.53451117222421,-0.330039271277653,0.408185054162627,-0.354341901032115,-0.109228121760841,9.63470318906314e-16,1.2921694473995e-13
"30",30,"P30-2","P30","1",2014-11-20,"1",2014-11-27,0,NA,1,"I-A-2","I-A",2,NA,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,0,NA,166,149,3,31,26.3479301075269,25.5370967741935,27.1587634408602,44.4672043010753,38.544623655914,50.3897849462366,36.3,72,22.3,22,-61.2645851652126,-10.0030629299691,-3.28363105081132,-0.790878807535402,0.666055824050047,0.053403755969287,-0.232988810440834,4.34965054401304e-15,2.0770450841052e-13
