"","id","x","y","alpha","major","minor","area","frame","track","pred1","pred2","TPX","BPX","trayn","camera","rep","trial","position"
"84",1,445.000061035156,188.999969482422,45,7.07106781005859,5.65685367584229,30,4,1,641.141557965961,184.452230854399,463,470,5,1,2,3,5
"85",1,445.5,189,0,7,6,30.5,5,1,630.500000000002,184.464968152866,463,470,5,1,2,3,5
"86",1,445.5,188.5,0,7,5,29,6,1,630.500000000002,184.464968152866,463,470,5,1,2,3,5
"87",1,445,188.5,0,8,5,30.5,7,1,641.142857142859,184.452229299363,463,470,5,1,2,3,5
"88",1,445,188.5,0,8,5,31.5,8,1,641.142857142859,184.452229299363,463,470,5,1,2,3,5
"89",1,445,188.5,0,8,5,31,9,1,641.142857142859,184.452229299363,463,470,5,1,2,3,5
"90",1,445,188.5,0,8,5,31,10,1,641.142857142859,184.452229299363,463,470,5,1,2,3,5
"91",1,445,188.5,0,8,5,31,11,1,641.142857142859,184.452229299363,463,470,5,1,2,3,5
"92",1,445,188.5,0,8,5,31,12,1,641.142857142859,184.452229299363,463,470,5,1,2,3,5
"93",1,445,188.5,0,8,5,31,13,1,641.142857142859,184.452229299363,463,470,5,1,2,3,5
"94",1,444.5,188.5,0,7,5,29.5,14,1,651.785714285716,184.43949044586,463,470,5,1,2,3,5
"95",1,441.5,187.5,90,7,5,29.5,15,1,715.642857142859,184.363057324841,463,470,5,1,2,3,5
"96",1,438.750030517578,185.25,45,8.48528099060059,4.94974756240845,31.5,16,1,774.177921840124,184.292994408091,463,470,5,1,2,3,5
"97",1,439,186.5,0,8,5,29.5,17,1,768.857142857145,184.299363057325,463,470,5,1,2,3,5
"98",1,439.000030517578,190,-45,7.07106781005859,5.65685367584229,30,18,1,768.856493268697,184.299363834843,463,470,5,1,2,3,5
"99",1,438.5,194,-90,8,5,30,19,1,779.500000000002,184.286624203822,463,470,5,1,2,3,5
"100",1,440.5,197.5,-90,7,5,26.5,20,1,736.928571428572,184.337579617834,463,470,5,1,2,3,5
