"","id","x","y","alpha","major","minor","area","frame","track","pred1","pred2","trayn","camera","rep","trial","position"
"27",1,478.5,296,-90,6,3,15,7,1,874.999999999993,367.553797468354,2,1,1,1,2
"28",1,478.5,297,45,6.36396026611328,3.5355339050293,18,8,1,874.999999999993,367.553797468354,2,1,1,1,2
"29",1,478.5,297,0,5,4,16,9,1,874.999999999993,367.553797468354,2,1,1,1,2
"30",1,477.25,296.75,45,7.07106781005859,3.5355339050293,16.5,10,1,804.999999999993,367.545886075949,2,1,1,1,2
"31",1,476,295,45,7.07106781005859,2.82842683792114,16,11,1,734.999999999996,367.537974683544,2,1,1,1,2
"32",1,477.450042724609,295.649993896484,18.4349498748779,5.69209957122803,4.11096096038818,17,12,1,816.202392578118,367.547152169143,2,1,1,1,2
"33",1,478,296,0,6,4,18.5,13,1,846.999999999993,367.550632911392,2,1,1,1,2
"34",1,478,297,0,6,4,17.5,14,1,846.999999999993,367.550632911392,2,1,1,1,2
"35",1,478.500061035156,296.999984741211,-45,6.36396026611328,3.5355339050293,17,15,1,875.003417968743,367.553797854653,2,1,1,1,2
"36",1,478.250061035156,298.249969482422,-45,5.65685367584229,3.53553366661072,16.5,16,1,861.003417968743,367.552215576172,2,1,1,1,2
"37",1,477,300.5,90,5,4,16.5,17,1,790.999999999996,367.544303797468,2,1,1,1,2
"38",1,475,304,-90,6,4,17.5,18,1,679,367.53164556962,2,1,1,1,2
"39",1,474.000061035156,305.499984741211,-45,6.36396026611328,3.5355339050293,19,19,1,623.00341796875,367.525316841995,2,1,1,1,2
"40",1,472.000030517578,306.500015258789,-45,6.3639612197876,3.5355339050293,16,20,1,511.001708984379,367.512658420997,2,1,1,1,2
"41",1,473.500061035156,300.499984741211,-45,5.65685367584229,4.24264049530029,16,1,1,-1664.09313583374,369.565215116702,3,1,1,1,3
"42",2,295.5,447.5,0,7,5,25,1,2,-3455.21875000001,376.198757763975,3,1,1,1,3
"43",1,474,300,0,6,4,17.5,2,1,-1659.0625,369.546583850932,3,1,1,1,3
"44",2,304.900024414062,445.299991607666,-26.5650482177734,5.81377649307251,4.91934967041016,22,2,2,-3360.6310043335,375.848446295128,3,1,1,1,3
"45",1,475.500061035156,299.499984741211,-45,5.65685367584229,4.24264049530029,19,3,1,-1643.96813583374,369.490680955211,3,1,1,1,3
"46",2,313.250030517578,441.250011444092,-45,7.07106781005859,4.94974708557129,24.5,3,2,-3276.60906791688,375.537265943444,3,1,1,1,3
"47",1,477.500030517578,300.000015258789,-45,4.94974756240845,4.94974708557129,18,4,1,-1623.84344291687,369.416147931022,3,1,1,1,3
"48",2,323.750030517578,435.750011444092,-45,7.07106781005859,4.94974708557129,26.5,4,2,-3170.95281791688,375.145961595618,3,1,1,1,3
"49",1,477.5,299.5,0,5,5,17.5,5,1,-1623.84375,369.416149068323,3,1,1,1,3
"50",2,331.500030517578,428.500007629395,-45,7.07106781005859,4.24264049530029,23,5,2,-3092.96844291688,374.857141719842,3,1,1,1,3
"51",1,479,296,-90,6,4,17.5,6,1,-1608.75,369.360248447205,3,1,1,1,3
"52",2,340.5,419.5,90,5,5,18.5,6,2,-3002.40625000001,374.521739130435,3,1,1,1,3
