INSECT,STAGE_START,STAGE_END,"""2015-03-09""","""2015-03-15""","""2015-22-09""","""2015-29-09""","""2015-04-05""",Notes,DAYS.SINCE.PAINT
01H-CO-1-05,AF,AF,A,A,A,A,A,,180
01H-CO-1-06,AF,AF,A,A,A,A,A,,180
01H-CO-1-07,AM,AM,A,A,A,A,A,,180
01H-CO-1-08,5,AM,A,A,A,A,A,,180
01H-CO-1-09,5,AM,A,A,A,A,A,,180
01H-CO-1-10,AF,AF,A,A,A,A,A,,180
01H-CO-1-11,5,AF,A,A,A,A,A,,180
01H-CO-2-01,AF,AF,A,A,A,A,A,,180
01H-CO-2-02,5,,A,A,K,D,D,In molt during exposure (still molt 3/12),180
01H-CO-2-03,5,5,A,A,D,D,D,,180
01H-CO-2-04,5,5,A,D,D,D,D,,180
01H-CO-2-05,5,AF,A,A,A,A,A,molt 3/9,180
01H-CO-2-06,5,,D,D,D,D,D,In molt during exposure,180
01H-CO-2-07,5,AM,A,A,A,A,A,molt 3/9,180
01H-CO-2-08,AM,AM,A,A,A,A,A,,180
01H-CO-2-09,AF,AF,A,A,K,D,D,,180
01H-CO-2-10,AM,AM,A,A,A,A,A,,180
01H-CO-2-11,5,5,D,D,D,D,D,,180
01H-CO-3-01,5,5,A,A,A,A,A,,180
01H-CO-3-02,5,AF,A,A,A,A,A,Molt 15 or 22,180
01H-CO-3-03,5,AF,A,A,A,A,A,Molt 15 or 22,180
01H-CO-3-04,5,5,A,A,A,A,K,last day no motion but held paper,180
01H-CO-3-05,5,AF,A,A,A,A,A,molt 3/9,180
01H-CO-3-06,5,AF,A,A,A,A,A,Molt 15 or 22,180
01H-CO-3-07,AF,AF,A,A,A,A,A,,180
01H-CO-3-08,AF,AF,A,A,A,A,A,,180
01H-CO-3-09,AF,AF,A,A,A,A,A,,180
01H-CO-3-10,AF,AF,A,A,A,A,A,,180
01H-CO-3-11,AF,AF,A,A,A,A,A,,180
01H-CO-4-01,AF,AF,A,D,D,D,D,,180
01H-CO-4-02,5,5,A,D,D,D,D,Molting during exposure,180
01H-CO-4-03,4,4,A,A,A,D,D,,180
01H-CO-4-04,5,5,A,A,A,D,D,,180
01H-CO-4-05,5,AF,A,A,A,A,A,Molt 3/9,180
01H-CO-4-06,5,AM,A,A,A,A,A,Molt 3/9,180
01H-CO-4-07,5,5,A,D,D,D,D,,180
01H-CO-4-08,AF,AF,A,A,A,A,A,,180
01H-CO-4-09,5,5,A,A,A,A,A,,180
01H-CO-4-10,4,4,A,A,A,D,D,,180
01H-CO-4-11,AM,AM,A,A,A,A,D,,180
03H-5A-1-01,AF,AF,K,D,D,D,D,,180
03H-5A-1-02,5,5,D,D,D,D,D,,180
