DATE,DAY,INSECT,TREATMENT,STRAIN,QUAD,LOCATION,STATUS,ALIVE,DEAD,KNOCKDOWN,NOTES
29-Mar-15,5,T-CO-ECL-4-B,CO,ECL,4,,A,,,,
29-Mar-15,5,T-CO-ECL-4-C,CO,ECL,4,,A,,,,
29-Mar-15,5,T-5A-ECL-1-A,5A,ECL,1,,K,,,,grabbed paper.
29-Mar-15,5,T-5A-ECL-1-B,5A,ECL,1,,D,,,,
29-Mar-15,5,T-5A-ECL-1-C,5A,ECL,1,,D,,,,
29-Mar-15,5,T-5A-ECL-2-A,5A,ECL,2,,D,,,,did not grab paper
29-Mar-15,5,T-5A-ECL-2-B,5A,ECL,2,,D,,,,
29-Mar-15,5,T-5A-ECL-2-C,5A,ECL,2,,K,,,,grabbed paper
29-Mar-15,5,T-5A-ECL-3-A,5A,ECL,3,,D,,,,Paper test negative
29-Mar-15,5,T-5A-ECL-3-B,5A,ECL,3,,K,,,,hangning off paper
29-Mar-15,5,T-5A-ECL-3-C,5A,ECL,3,,K,,,,thought dead but pos paper test.
29-Mar-15,5,T-5A-ECL-4-A,5A,ECL,4,,D,,,,
29-Mar-15,5,T-5A-ECL-4-B,5A,ECL,4,,K,,,,alive twitching
29-Mar-15,5,T-5A-ECL-4-C,5A,ECL,4,,K,,,,slow movement
30-Mar-15,6,T-CF-ECL-1-A,CF,ECL,1,,K,,,,
30-Mar-15,6,T-CF-ECL-1-B,CF,ECL,1,,A,,,,
30-Mar-15,6,T-CF-ECL-1-C,CF,ECL,1,,D,,,,
30-Mar-15,6,T-CF-ECL-2-A,CF,ECL,2,,A,,,,
30-Mar-15,6,T-CF-ECL-2-B,CF,ECL,2,,A,,,,still appears wet
30-Mar-15,6,T-CF-ECL-2-C,CF,ECL,2,,A,,,,
30-Mar-15,6,T-CF-ECL-3-A,CF,ECL,3,,A,,,,
30-Mar-15,6,T-CF-ECL-3-B,CF,ECL,3,,A,,,,
30-Mar-15,6,T-CF-ECL-3-C,CF,ECL,3,,D,,,,
30-Mar-15,6,T-CF-ECL-4-A,CF,ECL,4,,A,,,,
30-Mar-15,6,T-CF-ECL-4-B,CF,ECL,4,,A,,,,
30-Mar-15,6,T-CF-ECL-4-C,CF,ECL,4,,A,,,,
30-Mar-15,6,T-CO-ECL-1-A,CO,ECL,1,,D,,,,
30-Mar-15,6,T-CO-ECL-1-B,CO,ECL,1,,A,,,,
30-Mar-15,6,T-CO-ECL-1-C,CO,ECL,1,,A,,,,
30-Mar-15,6,T-CO-ECL-2-A,CO,ECL,2,,A,,,,
30-Mar-15,6,T-CO-ECL-2-B,CO,ECL,2,,A,,,,
30-Mar-15,6,T-CO-ECL-2-C,CO,ECL,2,,A,,,,
30-Mar-15,6,T-CO-ECL-3-A,CO,ECL,3,,A,,,,little movement
30-Mar-15,6,T-CO-ECL-3-B,CO,ECL,3,,A,,,,
30-Mar-15,6,T-CO-ECL-3-C,CO,ECL,3,,D,,,,
30-Mar-15,6,T-CO-ECL-4-A,CO,ECL,4,,A,,,,
30-Mar-15,6,T-CO-ECL-4-B,CO,ECL,4,,A,,,,
30-Mar-15,6,T-CO-ECL-4-C,CO,ECL,4,,A,,,,
30-Mar-15,6,T-5A-ECL-1-A,5A,ECL,1,,K,,,,
30-Mar-15,6,T-5A-ECL-1-B,5A,ECL,1,,D,,,,
30-Mar-15,6,T-5A-ECL-1-C,5A,ECL,1,,D,,,,
30-Mar-15,6,T-5A-ECL-2-A,5A,ECL,2,,D,,,,
30-Mar-15,6,T-5A-ECL-2-B,5A,ECL,2,,D,,,,
30-Mar-15,6,T-5A-ECL-2-C,5A,ECL,2,,K,,,,
