DATE,DAY,INSECT,STATUS,NOTES
7/13/2015,13,H-CO-ECL-1-A,A,
7/13/2015,13,H-CO-ECL-1-B,A,
7/13/2015,13,H-CO-ECL-1-C,A,
7/13/2015,13,H-CO-ECL-2-A,A,
7/13/2015,13,H-CO-ECL-2-B,A,
7/13/2015,13,H-CO-ECL-2-C,A,
7/13/2015,13,H-CO-ECL-3-A,A,
7/13/2015,13,H-CO-ECL-3-B,A,
7/13/2015,13,H-CO-ECL-3-C,A,
7/13/2015,13,H-CO-ECL-4-A,A,
7/13/2015,13,H-CO-ECL-4-B,A,
7/13/2015,13,H-CO-ECL-4-C,A,
7/13/2015,13,H-CF-ECL-1-A,A,
7/13/2015,13,H-CF-ECL-1-B,A,
7/13/2015,13,H-CF-ECL-1-C,A,
7/13/2015,13,H-CF-ECL-2-A,D,
7/13/2015,13,H-CF-ECL-2-B,D,
7/13/2015,13,H-CF-ECL-2-C,D,
7/13/2015,13,H-CF-ECL-3-A,A,
7/13/2015,13,H-CF-ECL-3-B,D,
7/13/2015,13,H-CF-ECL-3-C,D,
7/13/2015,13,H-CF-ECL-4-A,A,
7/13/2015,13,H-CF-ECL-4-B,A,
7/13/2015,13,H-CF-ECL-4-C,D,
7/13/2015,13,H-5A-ECL-1-A,D,
7/13/2015,13,H-5A-ECL-1-B,D,
7/13/2015,13,H-5A-ECL-1-C,D,
7/13/2015,13,H-5A-ECL-2-A,D,
7/13/2015,13,H-5A-ECL-2-B,D,
7/13/2015,13,H-5A-ECL-2-C,D,
7/13/2015,13,H-5A-ECL-3-A,D,
7/13/2015,13,H-5A-ECL-3-B,D,
7/13/2015,13,H-5A-ECL-3-C,D,
7/13/2015,13,H-5A-ECL-4-A,D,
7/13/2015,13,H-5A-ECL-4-B,D,
7/13/2015,13,H-5A-ECL-4-C,D,
7/14/2015,14,H-CO-ECL-1-A,A,
7/14/2015,14,H-CO-ECL-1-B,A,
7/14/2015,14,H-CO-ECL-1-C,A,
7/14/2015,14,H-CO-ECL-2-A,A,
7/14/2015,14,H-CO-ECL-2-B,A,
7/14/2015,14,H-CO-ECL-2-C,A,
7/14/2015,14,H-CO-ECL-3-A,A,
7/14/2015,14,H-CO-ECL-3-B,A,
7/14/2015,14,H-CO-ECL-3-C,A,
7/14/2015,14,H-CO-ECL-4-A,A,
7/14/2015,14,H-CO-ECL-4-B,A,
7/14/2015,14,H-CO-ECL-4-C,A,
7/14/2015,14,H-CF-ECL-1-A,A,
7/14/2015,14,H-CF-ECL-1-B,A,
7/14/2015,14,H-CF-ECL-1-C,A,
7/14/2015,14,H-CF-ECL-2-A,D,
7/14/2015,14,H-CF-ECL-2-B,D,
7/14/2015,14,H-CF-ECL-2-C,D,
7/14/2015,14,H-CF-ECL-3-A,A,
7/14/2015,14,H-CF-ECL-3-B,D,
7/14/2015,14,H-CF-ECL-3-C,D,
7/14/2015,14,H-CF-ECL-4-A,A,
7/14/2015,14,H-CF-ECL-4-B,A,
7/14/2015,14,H-CF-ECL-4-C,D,
7/14/2015,14,H-5A-ECL-1-A,D,
7/14/2015,14,H-5A-ECL-1-B,D,
7/14/2015,14,H-5A-ECL-1-C,D,
7/14/2015,14,H-5A-ECL-2-A,D,
7/14/2015,14,H-5A-ECL-2-B,D,
7/14/2015,14,H-5A-ECL-2-C,D,
7/14/2015,14,H-5A-ECL-3-A,D,
7/14/2015,14,H-5A-ECL-3-B,D,
7/14/2015,14,H-5A-ECL-3-C,D,
7/14/2015,14,H-5A-ECL-4-A,D,
7/14/2015,14,H-5A-ECL-4-B,D,
7/14/2015,14,H-5A-ECL-4-C,D,
7/15/2015,15,H-CO-ECL-1-A,A,
7/15/2015,15,H-CO-ECL-1-B,A,
7/15/2015,15,H-CO-ECL-1-C,A,
7/15/2015,15,H-CO-ECL-2-A,K,
7/15/2015,15,H-CO-ECL-2-B,A,
7/15/2015,15,H-CO-ECL-2-C,A,
7/15/2015,15,H-CO-ECL-3-A,A,
7/15/2015,15,H-CO-ECL-3-B,A,
7/15/2015,15,H-CO-ECL-3-C,A,
7/15/2015,15,H-CO-ECL-4-A,A,
7/15/2015,15,H-CO-ECL-4-B,A,
7/15/2015,15,H-CO-ECL-4-C,A,
7/15/2015,15,H-CF-ECL-1-A,A,
7/15/2015,15,H-CF-ECL-1-B,A,
7/15/2015,15,H-CF-ECL-1-C,A,
7/15/2015,15,H-CF-ECL-2-A,D,
7/15/2015,15,H-CF-ECL-2-B,D,
7/15/2015,15,H-CF-ECL-2-C,D,
7/15/2015,15,H-CF-ECL-3-A,A,
7/15/2015,15,H-CF-ECL-3-B,D,
7/15/2015,15,H-CF-ECL-3-C,D,
7/15/2015,15,H-CF-ECL-4-A,K,
7/15/2015,15,H-CF-ECL-4-B,A,
7/15/2015,15,H-CF-ECL-4-C,D,
7/15/2015,15,H-5A-ECL-1-A,D,
7/15/2015,15,H-5A-ECL-1-B,D,
7/15/2015,15,H-5A-ECL-1-C,D,
7/15/2015,15,H-5A-ECL-2-A,D,
7/15/2015,15,H-5A-ECL-2-B,D,
7/15/2015,15,H-5A-ECL-2-C,D,
7/15/2015,15,H-5A-ECL-3-A,D,
7/15/2015,15,H-5A-ECL-3-B,D,
7/15/2015,15,H-5A-ECL-3-C,D,
7/15/2015,15,H-5A-ECL-4-A,D,
7/15/2015,15,H-5A-ECL-4-B,D,
7/15/2015,15,H-5A-ECL-4-C,D,
7/16/2015,16,H-CO-ECL-1-A,A,
7/16/2015,16,H-CO-ECL-1-B,A,
7/16/2015,16,H-CO-ECL-1-C,A,
7/16/2015,16,H-CO-ECL-2-A,D,
7/16/2015,16,H-CO-ECL-2-B,A,
7/16/2015,16,H-CO-ECL-2-C,A,
7/16/2015,16,H-CO-ECL-3-A,A,
7/16/2015,16,H-CO-ECL-3-B,A,
7/16/2015,16,H-CO-ECL-3-C,A,
7/16/2015,16,H-CO-ECL-4-A,A,
7/16/2015,16,H-CO-ECL-4-B,A,
7/16/2015,16,H-CO-ECL-4-C,A,
7/16/2015,16,H-CF-ECL-1-A,A,
7/16/2015,16,H-CF-ECL-1-B,A,
7/16/2015,16,H-CF-ECL-1-C,A,
