"day","camera","replicate","treatment","t1_distance","t2_distance","t3_distance","t4_distance","t5_distance","t6_distance","t7_distance","t8_distance","t9_distance","t10_distance","t11_distance","t12_distance","t13_distance","t14_distance","t15_distance","t16_distance","t17_distance","t18_distance","total_distance","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","total_opentime","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open","total_open_distance"
"day 3","cam 3","rep11","control",290.85,335.16,267.66,191.36,111.01,76.98,115.36,22.35,135.85,54.9,75.87,80.75,105,71.92,69.19,NA,NA,NA,2004.21,35.0501672240803,133.779264214047,54.5819397993311,4.2809364548495,0,0,43.3444816053512,0,13.9130434782609,0,0,39.5986622073579,0,0,57.257525083612,NA,NA,NA,381.80602006689,27.26,115.76,53.79,3.75,0,0,19.01,0,10.21,0,0,14.84,0,0,12.88,NA,NA,NA,257.5
"day 3","cam 4","rep12","control",129.51,111.61,112.18,119.53,80.74,93.52,106.13,97.15,111.88,52.61,106.09,131.6,110.16,81.44,72.06,NA,NA,NA,1516.21,37.190635451505,0,32.6421404682274,84.2809364548495,0,0,0,0,0,0,94.7157190635452,44.9498327759197,33.1772575250836,0,32.9096989966555,NA,NA,NA,359.866220735786,12.53,0,7.2,20.56,0,0,0,0,0,0,18.1,12.01,13.43,0,9.45,NA,NA,NA,93.28
"day 3","cam 4","rep12","control",207.85,176.87,179.65,152.31,142.6,125.17,107.76,137.4,79.88,118.6,83.92,100.65,81.07,150.86,96.62,NA,NA,NA,1941.21,9.63210702341137,61.8060200668896,47.6254180602007,23.0100334448161,56.1872909698997,47.8929765886288,50.5685618729097,34.5150501672241,0,74.1137123745819,0,103.8127090301,0,27.8260869565217,125.752508361204,NA,NA,NA,662.742474916388,8.43,21.91,24.7,16.31,23.98,13.32,22.34,18.11,0,12.18,0,15.11,0,10.82,24.48,NA,NA,NA,211.69
"day 4","cam 1","rep13","control",313.21,253.93,157.21,210.75,204.44,151.33,95.18,76.54,145.61,101.19,85.05,86.8,73.67,81.45,89.45,77.79,85.14,63.08,2351.82,24.6153846153846,44.4147157190635,0,0,30.7692307692308,0,0,0,23.5451505016722,7.49163879598662,0,17.123745819398,0,0,12.3076923076923,0,0,0,160.267558528428,19.65,30.3,0,0,27.98,0,0,0,12.06,3.52,0,6.46,0,0,5.31,0,0,0,105.28
"day 4","cam 1","rep13","control",280.53,292.03,272.31,116.98,105.29,58.32,69.61,130.83,81.32,76.7,73.15,70.03,1.95,0,0,0,0,0,1629.05,5.61872909698997,8.2943143812709,0.535117056856187,0,26.2207357859532,0,0,152.240802675585,0,0,0,0,0,0,0,0,0,0,192.909698996656,7.92,9.7,0.33,0,10.92,0,0,44.39,0,0,0,0,0,0,0,0,0,0,73.26
"day 4","cam 2","rep14","control",337.04,218.24,175.72,197.33,167.41,100.57,114.83,62.74,1.42,0,0,0,0,0,0,0.37,0,0,1375.67,35.8528428093646,45.4849498327759,41.4715719063545,73.3110367892977,190.769230769231,29.1638795986622,38.2608695652174,0,0,0,0,0,0,0,0,0,0,0,454.314381270903,31.15,17.65,30.38,49.97,54.18,13.75,12.73,0,0,0,0,0,0,0,0,0,0,0,209.81
"day 4","cam 2","rep14","control",385.9,267.91,190.7,145.38,179.06,123.99,177.69,101.51,105.12,71.04,130.38,77.47,92.82,59.45,45.47,52.1,85.4,71.44,2362.83,39.3311036789298,8.02675585284281,14.9832775919732,45.752508361204,59.933110367893,0,4.0133779264214,2.40802675585284,1.07023411371237,0,0,0,36.1204013377926,0,0,0,0,0,211.638795986622,33.79,9.48,9.45,25.98,29.3,0,3.09,0.84,0.68,0,0,0,10.82,0,0,0,0,0,123.43
"day 4","cam 3","rep15","control",313.93,247.69,196.4,168.01,140.28,153.53,169.21,139.9,133.94,143.27,143.62,68.5,19.32,144.97,103.51,140.97,101.62,126.83,2655.5,22.742474916388,16.3210702341137,0,0,0,13.9130434782609,0,13.3779264214047,25.4180602006689,0,19.7993311036789,22.742474916388,22.2073578595318,199.063545150502,0,38.2608695652174,0,0,393.846153846154,24.59,15.44,0,0,0,13.77,0,6.34,9.9,0,9.94,15.53,1.67,68.6,0,10.87,0,0,176.65
"day 4","cam 3","rep15","control",515.07,400.19,329.39,261.17,276.99,274.29,227.81,186.74,99.81,171.43,61.69,142.81,72.76,127.5,36.16,4.06,0.83,32.96,3221.66,31.5719063545151,35.3177257525084,7.49163879598662,55.6521739130435,21.1371237458194,0,0,23.2775919732441,0,67.9598662207358,0,116.387959866221,0,133.244147157191,0,0,0,0,492.040133779264,48.9,47.72,10.71,54.44,17.08,0,0,9.96,0,26.59,0,43.26,0,29.22,0,0,0,0,287.88
"day 4","cam 4","rep16","control",377.98,236.05,184.18,167.44,271.91,158.36,118.19,55.33,93.45,151.57,76.95,74.86,39.73,0,68.89,112.06,104.4,63.54,2354.89,56.9899665551839,0,16.8561872909699,0.802675585284281,27.8260869565217,9.09698996655518,0,0,0,59.933110367893,0,0,0,0,0,18.4615384615385,64.4816053511706,0,254.448160535117,62.43,0,17.58,0.54,29.52,7.12,0,0,0,25.6,0,0,0,0,0,9.37,12.86,0,165.02
