"day","camera","arena","infection.status","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open"
"day 8","cam 2","arena 30","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"day 8","cam 2","arena 30","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"day 8","cam 3","arena 31","infected",318.38,243.24,174.96,195.61,140.22,166.02,153.75,148.65,24.49,0,0,5.03,0,0,0,0,NA,NA,39.866220735786,50.3010033444816,37.9933110367893,4.81605351170569,18.7290969899666,31.5719063545151,9.89966555183947,12.3076923076923,0,0,0,0,0,0,0,0,NA,NA,34.09,36.13,14.96,3.52,18.05,25.28,10.71,11.16,0,0,0,0,0,0,0,0,NA,NA
"day 8","cam 3","arena 31","infected",533.24,479.55,441.48,388.55,302.56,230.41,211.18,121.5,133.29,142.01,77.29,143.3,95.74,0,0,0,NA,NA,56.4548494983278,57.7926421404682,43.8795986622074,64.7491638795987,131.103678929766,128.428093645485,10.4347826086957,0,0,4.2809364548495,0,65.819397993311,0,0,0,0,NA,NA,46.44,49.8,31.23,37.47,65.7,40,7.35,0,0,1.86,0,25.55,0,0,0,0,NA,NA
"day 8","cam 3","arena 31","control",240.68,271.98,217.45,167.98,205.7,181.16,177.43,127.23,80.26,141.49,126.55,114.15,96.76,118.54,94.59,10.76,NA,NA,12.8428093645485,42.2742474916388,13.3779264214047,21.4046822742475,44.9498327759197,0,86.1538461538462,0,0,1.60535117056856,82.1404682274247,0,0,208.160535117057,90.9698996655518,0,NA,NA,9.18,32.23,5.55,9.14,27.55,0,14.37,0,0,0.69,21.64,0,0,43.79,15.62,0,NA,NA
"day 8","cam 3","arena 31","control",335.24,252.45,248.13,114.9,93.46,81.67,166.01,110.99,136,147.62,150.56,123.03,68.77,72.23,9.02,0.24,NA,NA,27.5585284280936,5.08361204013378,0.802675585284281,0,0,0,42.809364548495,39.3311036789298,207.090301003344,64.2140468227425,56.4548494983278,68.494983277592,0,0,0,0,NA,NA,45.54,3.78,0.96,0,0,0,16.09,17.02,38.29,29.21,23.57,22.37,0,0,0,0,NA,NA
"day 8","cam 4","arena 32","infected",228.38,258.67,242.52,237.55,220.15,195.19,177.24,253.27,218.68,181.14,169.65,141.4,130.96,111.54,105.66,121.78,56.3,NA,2.94314381270903,0,0,0,5.88628762541806,24.0802675585284,0,4.81605351170569,0,14.7157190635452,46.5551839464883,22.4749163879599,0,85.3511705685619,6.15384615384615,104.080267558528,0,NA,4.38,0,0,0,6.58,4.54,0,10.6,0,9.08,21.27,9.66,0,19.78,3.99,16.56,0,NA
"day 8","cam 4","arena 32","infected",386.69,302.07,259.16,175.55,138.31,102.61,160.23,154.11,70.46,52.37,133.2,73.21,90.19,70.56,97.03,46.89,60.28,NA,16.8561872909699,14.9832775919732,107.290969899666,71.9732441471572,0,0,53.5117056856187,0,11.2374581939799,10.9698996655518,65.5518394648829,12.3076923076923,83.4782608695652,0,88.8294314381271,0,0,NA,20.57,8.95,39.62,11.01,0,0,26.55,0,3.87,7.07,19.21,8.22,19.84,0,20.56,0,0,NA
"day 8","cam 4","arena 32","control",305.68,185.67,120.58,88.18,67.53,119.64,121.52,64.36,116.01,81.58,96.49,25.32,0,0,0,0,0,NA,51.9063545150502,59.6655518394649,10.4347826086957,77.056856187291,33.1772575250836,149.565217391304,50.5685618729097,0,85.8862876254181,0,0,0,0,0,0,0,0,NA,42.81,22.55,6.27,24.06,6.02,36.22,15.03,0,22.44,0,0,0,0,0,0,0,0,NA
"day 8","cam 4","arena 32","control",258.12,324.25,303.17,233.13,239.26,188.92,221.25,161.47,169.68,149.69,81.97,89.72,46.81,31.34,0,0,0,NA,50.5685618729097,22.742474916388,34.7826086956522,40.133779264214,0,0,48.695652173913,78.9297658862876,10.9698996655518,13.6454849498328,0,0,0,0,0,0,0,NA,23.63,27.95,30.55,30.92,0,0,51.16,34.71,10.65,11.41,0,0,0,0,0,0,0,NA
