"day","camera","arena","infection.status","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open"
"day 2","cam 4","arena 8","control",122.37,36.18,109.13,111.97,94.86,89.04,71.3,64.76,65.86,98.16,68,91.74,74.7,49.47,60.41,113.03,96.53,NA,254.448160535117,0,31.304347826087,31.304347826087,0,20.8695652173913,0,270.769230769231,640,97.6588628762542,11.505016722408,220.735785953177,0,0,0,81.8729096989967,27.5585284280936,NA,51.67,0,10.65,17.07,0,9.06,0,29.71,65.86,12.61,5.39,31.49,0,0,0,30.97,11.46,NA
"day 3","cam 1","arena 9","infected",135.94,121.06,58.99,63.88,68.78,96.51,132.9,127.67,106.26,120.28,99.93,101.56,85.22,102.33,96.4,NA,NA,NA,26.4882943143813,43.3444816053512,0,0,5.61872909698997,62.876254180602,56.4548494983278,0,50.8361204013378,44.1471571906355,115.317725752508,0,0,20.3344481605351,0,NA,NA,NA,13.03,14.71,0,0,1.1,21.02,22.45,0,13.34,11.65,22.78,0,0,7.25,0,NA,NA,NA
"day 3","cam 1","arena 9","infected",239.46,195.75,153.71,89.61,77.6,139.69,146.71,82.38,131.37,171.48,105.1,110.73,112.43,101.64,149.68,NA,NA,NA,118.528428093645,26.7558528428094,49.7658862876254,0,0.267558528428094,54.5819397993311,92.3076923076923,0,74.9163879598662,168.561872909699,126.28762541806,65.819397993311,0,120.936454849498,54.5819397993311,NA,NA,NA,42.03,7.29,13.97,0,0,11.63,32.27,0,26.2,54.72,19.13,15.63,0,31.36,16.45,NA,NA,NA
"day 3","cam 1","arena 9","control",116.57,93.9,111.04,95.29,66.93,89.18,84.2,77.8,0,0,0,94.65,98.78,97.76,60.27,NA,NA,NA,126.555183946488,150.367892976589,44.9498327759197,107.558528428094,0,156.254180602007,0,179.264214046823,0,0,0,90.4347826086957,40.4013377926421,30.2341137123746,0,NA,NA,NA,19.95,21.95,9.07,20.49,0,30.95,0,30.32,0,0,0,17.94,6.87,6.74,0,NA,NA,NA
"day 3","cam 1","arena 9","control",71.82,102.92,180.15,153.08,151.94,137.32,165.89,149.09,144.75,110.75,145.16,80.14,142.58,101.59,88.11,NA,NA,NA,1.60535117056856,0,18.9966555183947,131.90635451505,106.755852842809,51.371237458194,37.7257525083612,24.0802675585284,116.923076923077,56.7224080267559,235.183946488294,0,100.066889632107,59.1304347826087,0,NA,NA,NA,1.06,0,4.42,35.24,27.38,15.43,10.95,9.62,25.78,10.72,55.1,0,24.55,14.85,0,NA,NA,NA
"day 3","cam 2","arena 10","infected",239.72,277.8,174.89,164.64,133.25,151.9,98.61,108.87,100.44,78.58,83.73,108.58,87.92,74.17,86.18,NA,NA,NA,14.4481605351171,35.3177257525084,0,26.7558528428094,0,14.7157190635452,0,33.4448160535117,49.7658862876254,0,0,52.1739130434783,0,40.4013377926421,58.5953177257525,NA,NA,NA,7.25,23.6,0,10.05,0,8.06,0,10.38,12.16,0,0,16.69,0,8.15,18.33,NA,NA,NA
"day 3","cam 2","arena 10","infected",139.42,107.65,103.78,120.2,79.81,77.96,87.12,107.71,101.61,64.13,52.72,96.51,71.08,56.2,34.69,NA,NA,NA,0,0,0,38.5284280936455,0,0,53.7792642140468,55.6521739130435,0,0,0,12.0401337792642,8.561872909699,25.4180602006689,0,NA,NA,NA,0,0,0,21.86,0,0,10.8,8.31,0,0,0,2.85,1.48,4.15,0,NA,NA,NA
"day 3","cam 2","arena 10","control",113.25,88.85,84.89,96.2,80.31,84.28,92.77,96.99,85.57,92.28,86.99,83.43,85,0,0,NA,NA,NA,0,51.371237458194,0,105.150501672241,0,210.836120401338,42.809364548495,56.1872909698997,0,0,0.535117056856187,0,0,0,0,NA,NA,NA,0,6.93,0,20.27,0,27.96,5.54,12.13,0,0,0,0,0,0,0,NA,NA,NA
"day 3","cam 2","arena 10","control",166.89,103.7,79.4,77.87,54.61,108.14,86.15,75.62,81.64,70.46,63.34,80.7,13.78,0,0,NA,NA,NA,29.9665551839465,0,0,0,0,0,0,45.4849498327759,0,0,0,0,0,0,0,NA,NA,NA,12.21,0,0,0,0,0,0,9.83,0,0,0,0,0,0,0,NA,NA,NA
"day 3","cam 3","arena 11","infected",109.15,117.53,119.37,107.55,114,98.25,80.38,84.78,83.01,103.13,88.17,115.63,84.51,91.61,57.06,NA,NA,NA,0,0,0,18.7290969899666,0,0,0,0,0,82.6755852842809,0,50.0334448160535,0,0,0,NA,NA,NA,0,0,0,9.09,0,0,0,0,0,14.41,0,12.78,0,0,0,NA,NA,NA
"day 3","cam 3","arena 11","infected",113.09,107.16,101.26,87.51,75.32,99.85,94.62,78.05,71.99,81.11,97.06,89.75,78.39,86.83,72.3,NA,NA,NA,0,33.4448160535117,0,0,0,23.2775919732441,45.752508361204,20.6020066889632,0,0,18.7290969899666,0,0,136.1872909699,84.8160535117057,NA,NA,NA,0,9.48,0,0,0,5.57,11.09,5.48,0,0,4.21,0,0,29.8,20.46,NA,NA,NA
"day 3","cam 3","arena 11","control",172.32,113.58,117.98,97.71,103.8,61.2,96.18,94.6,11.17,0,0,0.63,0,0,18.17,NA,NA,NA,18.9966555183947,0,44.9498327759197,0,0,0,77.8595317725753,25.4180602006689,0,0,0,0,0,0,0,NA,NA,NA,7.62,0,13.56,0,0,0,23.89,7.74,0,0,0,0,0,0,0,NA,NA,NA
"day 3","cam 3","arena 11","control",311.04,352.01,269.56,170.61,125.26,124.94,34.97,91.09,97.87,75.81,92.83,107.21,76.52,70.62,66.25,NA,NA,NA,39.866220735786,128.963210702341,54.5819397993311,4.2809364548495,0,42.5418060200669,0.802675585284281,13.9130434782609,0,0,39.5986622073579,0,0,19.2642140468227,62.3411371237458,NA,NA,NA,31.41,111.61,53.79,3.75,0,18.59,0.42,10.21,0,0,14.84,0,0,9,8.29,NA,NA,NA
"day 3","cam 4","arena 12","infected",105.94,187.19,122.5,134.92,179.05,138.83,120,130.26,70.36,81.97,106.1,113.45,161.1,146.8,85.82,NA,NA,NA,22.2073578595318,12.8428093645485,4.0133779264214,7.22408026755853,37.190635451505,41.4715719063545,17.3913043478261,79.4648829431438,0,0,0,0,5.61872909698997,26.7558528428094,89.6321070234114,NA,NA,NA,18.55,9.3,2.39,3.84,23.25,23.9,9.18,17.1,0,0,0,0,2.95,11.27,29.45,NA,NA,NA
"day 3","cam 4","arena 12","infected",175,157.21,113.75,93.17,56.09,77.01,111.53,105.11,77.07,89,77.69,82.12,55.71,0,0,NA,NA,NA,127.892976588629,127.892976588629,24.3478260869565,0,0,20.3344481605351,23.8127090301003,59.6655518394649,15.2508361204013,0,37.4581939799331,8.82943143812709,71.9732441471572,0,0,NA,NA,NA,40.22,37.82,9.72,0,0,6.68,9.33,17.51,5.77,0,10.87,3.58,15.12,0,0,NA,NA,NA
"day 3","cam 4","arena 12","control",135.24,121.21,128.39,118.47,79.79,102.32,103.01,122.84,83.84,90.61,139.88,119.06,88.54,79.7,8.12,NA,NA,NA,37.190635451505,0,78.1270903010033,38.7959866220736,0,0,0,0,0,94.7157190635452,44.9498327759197,33.1772575250836,0,32.9096989966555,0,NA,NA,NA,12.53,0,18.16,9.6,0,0,0,0,0,18.1,12.01,13.43,0,9.45,0,NA,NA,NA
"day 3","cam 4","arena 12","control",212.08,191.39,195.3,168.58,154.23,83.28,157.42,101.85,121.75,99.25,98.38,93.14,151.71,107.03,69.71,NA,NA,NA,9.63210702341137,61.8060200668896,47.6254180602007,61.5384615384615,17.6588628762542,47.8929765886288,78.9297658862876,6.15384615384615,22.2073578595318,51.9063545150502,49.2307692307692,54.5819397993311,27.8260869565217,125.752508361204,0,NA,NA,NA,8.43,21.91,24.7,27.86,12.43,13.32,37.43,3.02,3.55,8.63,3.59,11.52,10.82,24.48,0,NA,NA,NA
"day 4","cam 1","arena 13","infected",163.64,134.95,99.28,117.9,72.49,94.57,102.97,84.99,84.75,104.74,82.34,79.92,74.85,80.24,4.88,0,0,NA,14.7157190635452,88.0267558528428,274.247491638796,196.120401337793,577.391304347826,0,111.571906354515,605.484949832776,245.61872909699,69.2976588628763,0,0,0,349.966555183947,0,0,0,NA,10.34,16.72,42.74,22.22,62.44,0,18.66,79.18,30.64,12.81,0,0,0,41.9,0,0,0,NA
"day 4","cam 1","arena 13","infected",516.31,394.49,282.88,273.29,238.65,192.94,182.92,132.06,145.81,162.1,92.82,128.99,132.21,124.35,129.68,135.36,125.5,NA,55.9197324414716,43.3444816053512,40.4013377926421,86.6889632107023,76.7892976588629,0,112.909698996656,40.4013377926421,0,17.3913043478261,0,11.505016722408,0,105.953177257525,34.5150501672241,49.4983277591973,0,NA,68.79,39.33,27.39,23.98,32.26,0,20.15,21.32,0,4.66,0,1.73,0,21.64,8.55,19.75,0,NA
"day 4","cam 1","arena 13","control",331.07,251.18,168.52,270.21,178.21,133.32,88.99,126.74,123.69,90.85,99.84,79.71,83.21,96.09,82.19,89.09,61.97,NA,24.6153846153846,44.4147157190635,0,21.9397993311037,8.82943143812709,0,0,14.9832775919732,16.0535117056856,0,17.123745819398,0,0,12.3076923076923,0,0,0,NA,19.65,30.3,0,18.96,9.02,0,0,8.66,6.92,0,6.46,0,0,5.31,0,0,0,NA
"day 4","cam 1","arena 13","control",300.77,323.29,260.26,118.35,83.15,59.8,101.42,121.21,87.73,76.64,75.26,43.02,0,0,0,0,0,NA,5.61872909698997,8.82943143812709,0,16.5886287625418,9.63210702341137,0,108.09364548495,44.1471571906355,0,0,0,0,0,0,0,0,0,NA,7.92,10.03,0,6.06,4.86,0,31.01,13.38,0,0,0,0,0,0,0,0,0,NA
"day 4","cam 2","arena 14","infected",248.96,150.41,116.21,63.67,114.29,135.34,127.26,119.04,91.15,59.1,26.38,36.16,78.28,85.21,6.67,0,0,NA,9.89966555183947,0,0,0,4.2809364548495,123.879598662207,61.8060200668896,33.4448160535117,0,0,0,0,0,0,0,0,0,NA,3.61,0,0,0,3.47,39.82,12.93,13.42,0,0,0,0,0,0,0,0,0,NA
"day 4","cam 2","arena 14","infected",328.4,136.77,145.96,96.21,81.96,39.8,60.08,100.73,38.14,0.28,0.01,0.32,0,1.46,79.66,68.8,48.44,NA,7.75919732441472,6.15384615384615,28.8963210702341,41.7391304347826,67.9598662207358,0,0,67.9598662207358,0,0,0,0,0,0,0,0,0,NA,11.74,6.66,25.7,13.76,12.9,0,0,14.88,0,0,0,0,0,0,0,0,0,NA
"day 4","cam 2","arena 14","control",363.29,208.82,175.91,233.76,164.83,101.01,91.91,35.77,0,0,0,0.37,0,0,0,0,0,NA,39.3311036789298,42.0066889632107,46.2876254180602,100.869565217391,187.558528428094,38.2608695652174,0,0,0,0,0,0,0,0,0,0,0,NA,33.84,14.96,32.59,64.53,51.16,12.73,0,0,0,0,0,0,0,0,0,0,0,NA
"day 4","cam 2","arena 14","control",409.67,274.38,200.18,140.24,183.75,178.9,132.77,104.18,91.43,114.41,105.19,101.99,62.15,50.74,56.32,89.98,77.34,NA,39.3311036789298,8.02675585284281,14.9832775919732,45.752508361204,59.933110367893,0,4.0133779264214,3.47826086956522,0,0,0,36.1204013377926,0,0,0,0,0,NA,33.79,9.48,9.45,25.98,29.3,0,3.09,1.52,0,0,0,10.82,0,0,0,0,0,NA
