"day","camera","replicate","treatment","t1_distance","t2_distance","t3_distance","t4_distance","t5_distance","t6_distance","t7_distance","t8_distance","t9_distance","t10_distance","t11_distance","t12_distance","t13_distance","t14_distance","t15_distance","t16_distance","t17_distance","t18_distance","total_distance","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","total_opentime","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open","total_open_distance"
"day 3","cam 3","rep11","infected",108.33,98.4,92.24,88.8,77.49,82.74,95,68.43,73.26,72.6,78.38,97.98,75.58,75.4,86.26,NA,NA,NA,1270.89,0,33.4448160535117,0,0,0,23.2775919732441,45.752508361204,0,20.6020066889632,0,0,18.7290969899666,0,0,173.645484949833,NA,NA,NA,315.451505016722,0,9.48,0,0,0,5.57,11.09,0,5.48,0,0,4.21,0,0,38.37,NA,NA,NA,74.2
"day 3","cam 4","rep12","infected",92.3,181.09,128.84,114.17,146.6,176.37,75.95,139.08,99.26,55.14,102.79,89.81,116.98,148.08,138.73,NA,NA,NA,1805.19,22.2073578595318,12.8428093645485,4.0133779264214,7.22408026755853,16.0535117056856,62.6086956521739,0,96.8561872909699,0,0,0,0,0,5.61872909698997,64.7491638795987,NA,NA,NA,292.173913043478,18.55,9.3,2.39,3.84,10.65,36.5,0,26.28,0,0,0,0,0,2.95,17.98,NA,NA,NA,128.44
"day 3","cam 4","rep12","infected",161.13,155.73,118.23,92.43,57.08,49.02,77.22,119.44,106.4,66.79,70.15,91.92,68.02,36.9,0,NA,NA,NA,1270.46,121.471571906355,134.314381270903,24.3478260869565,0,0,0,20.3344481605351,33.7123745819398,49.7658862876254,15.2508361204013,0,46.2876254180602,19.5317725752508,52.4414715719064,0,NA,NA,NA,517.458193979933,36.96,41.07,9.72,0,0,0,6.68,12.79,14.05,5.77,0,14.45,3.95,11.17,0,NA,NA,NA,156.61
"day 4","cam 1","rep13","infected",157.12,120.08,97.68,127.16,57.17,91.38,94.69,82.64,79.93,96.67,81.2,77.7,73.07,70.76,74.75,0.5,0,0,1382.5,13.1103678929766,89.6321070234114,191.036789297659,118.795986622074,599.866220735786,138.060200668896,111.571906354515,284.414715719064,341.137123745819,284.147157190635,10.7023411371237,0,0,8.82943143812709,341.137123745819,0,0,0,2532.44147157191,10.06,17,27.9,23.34,57.17,18.99,18.66,36.33,46.34,36.87,3.09,0,0,1.36,40.54,0,0,0,337.65
"day 4","cam 1","rep13","infected",477.06,415.98,225.14,290.37,211.68,223.9,158.11,157.66,130.13,141.64,116.01,83.27,133.58,119.36,119.61,125.82,127.37,129.84,3386.53,40.133779264214,59.1304347826087,32.9096989966555,69.0301003344482,101.939799331104,0,67.4247491638796,66.8896321070234,18.9966555183947,0,17.3913043478261,0,11.505016722408,0,105.953177257525,34.5150501672241,49.4983277591973,0,675.317725752508,52.71,55.42,19.01,29.35,35.26,0,8.27,22.46,10.75,0,4.66,0,1.73,0,21.64,8.55,19.75,0,289.56
"day 4","cam 2","rep14","infected",231.07,143.78,126.23,68.09,94.57,117.41,125.69,113.78,92.41,79.81,36.7,22.25,45.15,81.24,75.48,4.44,0,0,1458.1,9.89966555183947,0,0,0,4.2809364548495,104.080267558528,36.6555183946488,78.3946488294314,0,0,0,0,0,0,0,0,0,0,233.311036789298,3.61,0,0,0,3.47,33.27,9.72,23.18,0,0,0,0,0,0,0,0,0,0,73.25
"day 4","cam 2","rep14","infected",300.54,160.58,140.05,80.07,92.68,36.43,49.7,72.92,93.64,1.44,0.28,0.01,0,0,6,75.28,65.17,50.31,1225.1,7.75919732441472,6.15384615384615,28.8963210702341,41.7391304347826,67.9598662207358,0,0,0,67.9598662207358,0,0,0,0,0,0,0,0,0,220.468227424749,11.74,6.66,25.7,13.76,12.9,0,0,0,14.88,0,0,0,0,0,0,0,0,0,85.64
"day 4","cam 3","rep15","infected",305.48,244.85,128.89,139.15,92.6,68.95,86.83,101.2,67.83,68.83,70.61,76.71,81.05,9.8,0,0,0,0,1542.78,76.5217391304348,38.2608695652174,0,1.33779264214047,0,0,0,20.6020066889632,0,0,0,2.67558528428094,87.2240802675585,0,0,0,0,0,226.622073578595,61.12,40.5,0,0.89,0,0,0,10.49,0,0,0,0.5,20,0,0,0,0,0,133.5
"day 4","cam 3","rep15","infected",247.66,228.12,196.23,146.61,116.31,138.29,136.35,79.65,76.26,73.53,96.45,87.56,50.3,75.3,96.64,93.56,62.42,70.61,2071.85,15.7859531772575,14.4481605351171,98.7290969899666,96.3210702341137,0,15.7859531772575,88.0267558528428,91.2374581939799,55.1170568561873,0.802675585284281,0,0,0,37.7257525083612,0,59.1304347826087,0,0,573.110367892977,14.55,9.41,24.79,8.38,0,6.29,17.44,14.85,11.03,0.42,0,0,0,9.61,0,12.77,0,0,129.54
"day 4","cam 4","rep16","infected",302.75,151.01,146.3,236.89,184.38,94.07,121.38,200.35,86.23,97.11,53.78,149.48,141.21,84.92,67.91,54.4,39.81,50.02,2262,0,0,125.484949832776,24.0802675585284,39.3311036789298,0,40.4013377926421,55.1170568561873,2.67558528428094,0,0,13.1103678929766,47.0903010033445,0,0,0,0,0,347.290969899666,0,0,41.78,16.21,24.1,0,19.45,27,2.45,0,0,16.64,27.1,0,0,0,0,0,174.73
